race_id,driver_id,lap_number,fuel_in_tank,fuel_pressure,fuel_consumption_rate
1,2,13,7.13,97.48,4.47
1,2,14,2.5,55.36,4.51
1,2,15,0.19,60.22,4.55
1,2,16,4.91,64.41,3.47
1,2,17,16.41,82.25,4.55
1,2,18,56.11,61.29,4.77
1,2,19,34.53,59.41,4.17
1,2,20,20.7,92.7,2.47
1,2,21,49.79,91.14,2.38
1,2,22,8.82,51.0,2.38
1,2,23,52.01,51.44,2.25
1,2,24,45.54,97.45,1.71
1,2,25,0.1,69.4,4.34
1,2,26,32.63,80.61,2.65
1,2,27,16.03,73.16,3.33
1,2,28,11.39,66.54,4.78
1,2,29,56.59,69.42,3.77
1,2,30,59.48,95.4,4.46
1,2,31,47.35,61.6,1.06
1,2,32,46.13,78.84,2.5
1,2,33,27.29,51.35,4.96
1,2,34,35.5,89.74,3.67
1,2,35,32.02,93.41,2.39
1,2,36,47.73,78.15,3.7
1,2,37,10.66,84.44,4.01
1,2,38,47.59,94.31,2.62
1,2,39,55.88,84.0,3.35
1,2,40,31.6,93.73,3.26
1,2,41,20.29,88.45,3.72
1,2,42,56.03,86.98,3.68
1,2,43,46.05,96.52,1.07
1,2,44,52.41,65.97,3.31
1,2,45,18.8,62.3,1.29
1,2,46,28.5,72.49,3.81
1,2,47,50.79,83.23,2.71
1,2,48,47.15,61.37,3.14
1,2,49,44.57,72.72,4.66
1,2,50,12.91,65.3,3.52
1,2,51,13.27,56.25,3.81
1,2,52,2.4,98.5,2.12
1,2,53,5.91,83.65,2.95
1,2,54,35.73,73.39,3.33
1,2,55,43.77,76.5,4.97
1,2,56,29.28,80.82,3.05
1,2,57,43.45,51.25,2.13
1,2,58,42.45,67.52,3.51
1,2,59,34.82,74.3,2.7
1,2,60,41.96,50.38,1.49
1,2,61,44.87,71.66,1.25
1,2,62,27.61,66.1,3.96
1,2,63,57.1,68.8,2.55
1,2,64,34.73,91.3,4.98
1,2,65,44.51,97.3,3.49
1,2,66,44.21,77.55,4.41
1,2,67,0.52,98.98,4.52
1,2,68,31.57,77.45,3.64
1,2,69,23.16,86.45,4.27
1,2,70,40.63,56.29,2.61
1,3,1,5.25,96.75,1.46
1,3,2,57.88,65.96,2.26
1,3,3,5.65,57.39,4.16
1,3,4,49.89,71.32,4.44
1,3,5,55.33,65.98,4.29
1,3,6,12.81,78.92,2.14
1,3,7,35.61,85.94,1.95
1,3,8,49.34,92.5,1.81
1,3,9,5.33,67.3,3.29
1,3,10,41.52,90.75,4.26
1,3,11,31.77,89.91,1.27
1,3,12,31.07,66.64,4.28
1,3,13,57.37,66.5,3.84
1,3,14,34.7,94.03,3.73
1,3,15,8.68,51.46,2.01
1,3,16,14.52,70.76,4.7
1,3,17,37.43,61.41,2.4
1,3,18,0.41,81.35,3.8
1,3,19,28.86,85.76,3.93
1,3,20,5.35,70.25,3.49
1,3,21,43.28,73.85,1.45
1,3,22,59.73,87.19,4.5
1,3,23,21.46,72.55,1.83
1,3,24,48.27,56.15,4.43
1,3,25,8.45,86.42,3.99
1,3,26,18.75,80.02,2.35
1,3,27,48.86,96.62,4.75
1,3,28,38.99,54.46,4.19
1,3,29,42.42,97.79,4.0
1,3,30,4.8,85.43,1.5
1,3,31,2.28,98.85,3.1
1,3,32,53.56,84.88,4.95
1,3,33,43.17,75.09,3.24
1,3,34,59.57,88.19,3.43
1,3,35,56.96,94.29,4.14
1,3,36,49.61,74.86,4.04
1,3,37,34.49,68.64,1.93
1,3,38,29.37,94.85,2.3
1,3,39,22.99,50.77,1.9
1,3,40,18.66,91.67,4.05
1,3,41,28.2,83.3,4.27
1,3,42,31.21,64.08,1.05
1,3,43,42.96,58.38,4.09
1,3,44,28.32,95.52,2.57
1,3,45,2.34,99.55,1.69
1,3,46,23.61,57.43,3.05
1,3,47,20.62,68.67,4.69
1,3,48,18.49,67.99,2.16
1,3,49,12.14,55.93,1.65
1,3,50,22.95,94.32,1.85
1,3,51,24.38,59.77,1.15
1,3,52,7.43,57.61,4.66
1,3,53,53.68,68.85,2.05
1,3,54,54.66,87.07,2.55
1,3,55,39.0,82.37,4.6
1,3,56,13.17,95.33,4.22
1,3,57,35.37,67.21,2.16
1,3,58,14.8,96.21,1.76
1,3,59,58.66,91.65,3.85
1,3,60,16.21,71.89,1.41
1,3,61,15.66,90.44,3.55
1,3,62,56.85,69.65,2.78
1,3,63,6.87,98.14,1.52
1,3,64,45.31,97.05,3.08
1,3,65,38.18,79.7,4.7
1,3,66,7.44,66.92,3.9
1,3,67,4.35,58.84,2.92
1,3,68,27.88,62.25,2.52
1,3,69,53.74,78.52,4.61
1,3,70,30.68,53.64,3.29
1,4,1,45.25,53.83,4.81
1,4,2,3.32,92.75,4.12
1,4,3,36.41,53.04,1.73
1,4,4,51.76,90.0,2.82
1,4,5,44.84,52.22,3.75
1,4,6,53.81,96.97,3.34
1,4,7,4.36,80.88,4.33
1,4,8,34.9,70.59,2.04
1,4,9,21.95,75.26,1.89
1,4,10,15.46,79.55,4.07
1,4,11,27.42,83.72,1.01
1,4,12,14.72,81.83,1.75
1,4,13,55.9,85.23,3.19
1,4,14,44.28,74.51,2.93
1,4,15,53.55,71.48,3.25
1,4,16,13.51,86.22,4.75
1,4,17,16.99,67.24,4.99
1,4,18,49.1,87.04,1.05
1,4,19,46.6,77.57,2.35
1,4,20,35.85,57.35,4.49
1,4,21,38.67,53.06,3.29
1,4,22,24.93,54.22,2.58
1,4,23,33.05,70.1,4.91
1,4,24,3.71,66.0,4.37
1,4,25,33.57,57.87,1.72
1,4,26,51.6,74.1,1.46
1,4,27,57.26,64.14,4.7
1,4,28,24.74,78.79,4.41
1,4,29,5.62,51.37,2.86
1,4,30,12.89,97.36,4.07
1,4,31,39.93,97.99,3.77
1,4,32,30.84,90.69,4.08
1,4,33,13.56,98.02,3.53
1,4,34,50.09,76.21,1.68
1,4,35,12.96,53.83,1.25
1,4,36,20.16,96.82,4.33
1,4,37,42.1,75.46,2.94
1,4,38,54.98,55.67,4.39
1,4,39,33.58,75.6,2.7
1,4,40,14.95,57.76,2.85
1,4,41,27.12,81.53,1.82
1,4,42,14.36,84.54,1.77
1,4,43,8.87,57.44,3.41
1,4,44,2.61,92.79,4.35
1,4,45,19.54,60.35,4.54
1,4,46,58.31,78.9,4.89
1,4,47,25.48,77.39,3.47
1,4,48,59.34,62.35,4.19
1,4,49,10.86,60.56,3.28
1,4,50,32.19,99.91,1.82
1,4,51,16.17,57.84,4.33
1,4,52,49.21,89.36,4.46
1,4,53,4.1,69.77,4.23
1,4,54,54.65,76.06,1.57
1,4,55,53.88,68.75,2.58
1,4,56,32.64,62.14,2.06
1,4,57,37.43,86.21,3.02
1,4,58,34.03,97.72,2.13
1,4,59,9.28,62.93,4.11
1,4,60,3.75,65.07,3.46
1,4,61,8.05,88.26,3.81
1,4,62,47.57,71.17,2.83
1,4,63,0.83,86.4,4.21
1,4,64,57.05,97.9,1.75
1,4,65,59.36,98.67,3.94
1,4,66,49.49,74.56,1.14
1,4,67,15.58,82.44,3.52
1,4,68,29.82,80.99,3.74
1,4,69,1.73,97.11,1.37
1,4,70,34.82,76.71,2.09
1,5,1,55.26,94.68,1.23
1,5,2,14.72,70.84,1.97
1,5,3,36.05,96.66,3.79
1,5,4,25.46,78.37,3.64
1,5,5,3.89,69.81,3.28
1,5,6,11.95,97.26,4.28
1,5,7,13.16,96.51,4.79
1,5,8,11.39,64.78,3.85
1,5,9,37.59,64.47,3.64
1,5,10,48.36,92.61,2.19
1,5,11,34.56,70.01,4.98
1,5,12,56.26,52.85,1.05
1,5,13,13.28,91.02,3.17
1,5,14,32.9,61.59,2.32
1,5,15,50.79,82.22,3.28
1,5,16,15.35,50.17,2.25
1,5,17,40.37,80.98,2.19
1,5,18,2.62,76.57,1.76
1,5,19,42.11,93.18,4.06
1,5,20,33.5,57.84,1.22
1,5,21,41.78,82.46,3.67
1,5,22,3.05,59.33,4.37
1,5,23,2.16,64.88,4.5
1,5,24,4.57,57.87,3.94
1,5,25,56.91,62.45,2.45
1,5,26,36.04,63.38,2.66
1,5,27,49.61,69.1,1.77
1,5,28,24.98,96.98,4.54
1,5,29,22.62,67.3,3.83
1,5,30,35.22,80.41,3.97
1,5,31,51.92,86.93,4.37
1,5,32,20.45,61.82,4.62
1,5,33,5.81,54.5,4.55
1,5,34,30.86,69.01,3.98
1,5,35,59.57,73.94,1.4
1,5,36,24.46,88.94,2.92
1,5,37,33.99,84.44,4.18
1,5,38,41.84,83.5,1.3
1,5,39,37.62,51.33,3.58
1,5,40,55.94,88.08,1.99
1,5,41,47.66,72.83,2.11
1,5,42,44.0,75.32,4.61
1,5,43,23.48,70.72,4.52
1,5,44,14.37,95.99,3.43
1,5,45,13.29,69.47,1.83
1,5,46,16.12,79.58,3.19
1,5,47,44.3,81.35,2.89
1,5,48,57.91,78.41,4.25
1,5,49,55.89,61.54,4.63
1,5,50,4.62,60.43,1.4
1,5,51,39.55,66.65,4.73
1,5,52,32.08,53.41,2.44
1,5,53,51.18,81.37,1.92
1,5,54,40.74,61.3,4.09
1,5,55,38.48,51.15,2.86
1,5,56,28.71,56.82,3.97
1,5,57,0.94,50.43,1.38
1,5,58,41.83,83.01,1.82
1,5,59,54.07,99.37,1.59
1,5,60,43.08,99.82,2.45
1,5,61,2.09,89.09,3.98
1,5,62,0.2,74.86,1.94
1,5,63,39.6,53.61,2.84
1,5,64,40.14,74.88,1.36
1,5,65,31.33,70.34,1.23
1,5,66,48.97,56.55,1.31
1,5,67,41.33,73.48,1.03
1,5,68,34.05,63.3,2.02
1,5,69,39.8,90.83,3.54
1,5,70,7.95,98.45,3.51
1,6,1,35.03,72.96,3.59
1,6,2,39.39,67.33,4.8
1,6,3,6.31,63.39,3.56
1,6,4,38.13,84.37,4.33
1,6,5,43.7,66.65,1.36
1,6,6,10.03,72.71,1.52
1,6,7,15.3,91.64,2.31
1,6,8,16.41,98.15,4.85
1,6,9,9.05,73.34,2.72
1,6,10,5.38,86.4,4.39
1,6,11,12.85,93.66,2.64
1,6,12,22.57,78.63,3.0
1,6,13,53.6,53.95,2.07
1,6,14,26.26,62.22,4.48
1,6,15,3.53,79.98,3.6
1,6,16,56.12,89.97,1.75
1,6,17,29.24,52.85,2.5
1,6,18,43.58,79.49,4.67
1,6,19,25.59,81.31,3.12
1,6,20,54.33,92.22,3.54
1,6,21,29.76,64.77,2.04
1,6,22,32.43,51.61,3.43
1,6,23,50.77,80.62,2.31
1,6,24,43.19,52.68,3.3
1,6,25,10.39,81.83,2.2
1,6,26,23.51,51.05,2.56
1,6,27,10.67,72.77,4.21
1,6,28,50.01,95.29,2.57
1,6,29,47.09,95.68,4.91
1,6,30,26.93,94.03,2.9
1,6,31,16.02,78.6,2.1
1,6,32,12.95,89.48,4.58
1,6,33,27.66,90.33,1.9
1,6,34,9.98,63.62,3.4
1,6,35,22.56,68.34,4.88
1,6,36,8.17,72.62,4.93
1,6,37,23.91,97.46,4.87
1,6,38,46.01,79.67,4.84
1,6,39,23.46,73.21,2.63
1,6,40,9.79,62.03,3.47
1,6,41,6.87,85.37,1.52
1,6,42,50.17,67.78,4.6
1,6,43,43.52,51.04,4.96
1,6,44,34.75,86.64,3.68
1,6,45,52.47,72.21,2.06
1,6,46,56.68,66.61,4.33
1,6,47,51.94,66.89,2.93
1,6,48,10.88,68.82,4.11
1,6,49,1.95,61.5,4.11
1,6,50,27.32,76.58,2.21
1,6,51,50.4,60.25,1.78
1,6,52,53.01,57.85,3.05
1,6,53,48.17,76.31,1.56
1,6,54,45.42,55.48,4.51
1,6,55,35.97,76.31,3.84
1,6,56,7.33,94.86,4.51
1,6,57,7.02,72.2,1.11
1,6,58,24.63,65.88,1.42
1,6,59,25.18,89.93,3.13
1,6,60,45.13,82.86,1.09
1,6,61,49.86,76.68,3.01
1,6,62,40.0,95.14,1.69
1,6,63,7.18,80.33,3.82
1,6,64,2.91,66.66,4.33
1,6,65,3.85,62.06,4.83
1,6,66,34.75,64.39,3.95
1,6,67,47.41,60.65,3.92
1,6,68,48.41,85.45,3.9
1,6,69,16.43,58.19,1.46
1,6,70,41.04,58.06,3.58
1,7,1,33.47,88.13,1.04
1,7,2,29.21,76.22,3.33
1,7,3,58.61,57.08,2.96
1,7,4,16.89,57.66,2.07
1,7,5,55.07,86.0,2.15
1,7,6,41.17,78.87,2.0
1,7,7,42.0,62.49,3.12
1,7,8,50.36,54.42,3.26
1,7,9,10.43,76.49,4.36
1,7,10,54.16,50.13,4.46
1,7,11,43.74,61.66,2.81
1,7,12,6.07,69.1,3.01
1,7,13,58.09,58.18,4.81
1,7,14,31.14,87.74,4.01
1,7,15,38.15,91.49,1.39
1,7,16,26.28,67.57,2.53
1,7,17,58.0,71.06,1.44
1,7,18,18.37,74.65,2.74
1,7,19,24.25,96.84,3.21
1,7,20,21.51,74.39,2.42
1,7,21,17.79,53.82,1.06
1,7,22,10.18,61.08,3.76
1,7,23,22.93,64.29,3.6
1,7,24,38.94,96.78,1.02
1,7,25,49.52,63.66,2.37
1,7,26,55.18,95.0,4.22
1,7,27,22.31,66.02,2.11
1,7,28,24.95,93.23,3.86
1,7,29,18.85,55.42,3.33
1,7,30,55.8,58.49,3.52
1,7,31,52.86,98.74,2.09
1,7,32,38.37,92.38,2.68
1,7,33,19.38,80.18,4.27
1,7,34,27.59,71.18,3.74
1,7,35,17.11,91.23,4.04
1,7,36,12.14,90.87,3.86
1,7,37,15.34,60.59,2.79
1,7,38,33.49,89.69,3.7
1,7,39,13.93,53.58,1.66
1,7,40,29.15,75.34,2.61
1,7,41,25.97,73.57,4.85
1,7,42,38.23,97.57,1.31
1,7,43,12.44,54.5,3.27
1,7,44,25.59,88.88,2.71
1,7,45,35.65,55.39,2.52
1,7,46,39.19,50.27,4.08
1,7,47,0.89,96.56,2.92
1,7,48,19.02,95.5,2.73
1,7,49,45.58,90.5,4.03
1,7,50,2.59,64.14,3.38
1,7,51,21.23,81.85,1.3
1,7,52,32.48,52.14,1.09
1,7,53,1.22,64.67,3.92
1,7,54,0.54,99.03,4.52
1,7,55,22.23,92.13,3.99
1,7,56,7.25,71.4,1.52
1,7,57,29.45,82.37,1.47
1,7,58,55.88,61.49,4.81
1,7,59,55.99,51.41,3.43
1,7,60,39.16,69.16,4.1
1,7,61,52.22,87.8,2.57
1,7,62,57.62,71.87,3.23
1,7,63,25.44,75.75,1.33
1,7,64,24.98,53.94,3.08
1,7,65,30.34,99.16,1.82
1,7,66,36.37,76.28,4.56
1,7,67,3.8,63.62,1.52
1,7,68,8.46,88.11,3.47
1,7,69,48.24,95.98,4.39
1,7,70,5.96,74.88,2.08
1,8,1,35.1,51.15,4.35
1,8,2,36.43,54.63,2.98
1,8,3,43.03,82.7,4.01
1,8,4,35.88,78.26,3.85
1,8,5,46.12,89.79,4.18
1,8,6,31.4,59.28,2.3
1,8,7,54.51,53.52,2.57
1,8,8,38.55,57.53,4.29
1,8,9,6.45,53.35,3.98
1,8,10,13.63,73.65,4.5
1,8,11,48.09,56.08,4.49
1,8,12,12.4,91.96,3.68
1,8,13,25.68,52.86,1.34
1,8,14,47.14,83.85,4.36
1,8,15,46.81,86.52,1.07
1,8,16,35.83,95.96,3.69
1,8,17,13.68,95.94,2.62
1,8,18,52.55,64.03,4.57
1,8,19,35.78,95.1,2.22
1,8,20,45.36,57.39,4.86
1,8,21,12.33,52.52,1.09
1,8,22,23.98,61.75,4.96
1,8,23,57.52,92.69,3.45
1,8,24,3.85,92.25,4.4
1,8,25,53.78,81.26,3.3
1,8,26,6.58,81.1,1.82
1,8,27,9.41,51.83,2.76
1,8,28,52.32,82.98,4.92
1,8,29,24.96,66.88,4.19
1,8,30,33.47,84.59,3.36
1,8,31,12.38,98.19,2.41
1,8,32,53.93,83.78,1.69
1,8,33,5.63,96.53,3.11
1,8,34,58.79,90.21,1.23
1,8,35,13.28,56.66,1.59
1,8,36,15.5,74.03,1.22
1,8,37,18.42,72.95,4.28
1,8,38,40.37,66.7,2.26
1,8,39,12.19,84.92,1.61
1,8,40,3.9,56.51,4.68
1,8,41,33.24,96.75,2.71
1,8,42,51.97,61.94,4.64
1,8,43,56.69,66.34,3.88
1,8,44,3.63,61.85,4.35
1,8,45,15.54,55.8,3.94
1,8,46,35.74,72.96,3.37
1,8,47,54.51,67.12,1.65
1,8,48,49.63,67.09,3.08
1,8,49,37.44,83.84,3.13
1,8,50,5.68,79.65,2.89
1,8,51,29.69,86.84,3.02
1,8,52,41.91,83.64,1.51
1,8,53,1.93,55.58,3.81
1,8,54,37.65,61.73,4.77
1,8,55,51.06,50.32,4.71
1,8,56,54.33,69.16,2.18
1,8,57,40.3,84.09,3.73
1,8,58,4.59,71.27,3.88
1,8,59,7.23,96.29,4.99
1,8,60,29.11,94.76,4.33
1,8,61,38.39,69.68,1.99
1,8,62,44.58,57.24,2.41
1,8,63,43.61,64.2,2.98
1,8,64,43.4,52.75,3.47
1,8,65,32.8,67.96,2.58
1,8,66,18.52,77.1,1.05
1,8,67,53.54,66.15,2.36
1,8,68,20.44,92.87,1.79
1,8,69,59.62,65.87,1.8
1,8,70,9.42,95.1,1.3
1,9,1,15.41,58.13,3.38
1,9,2,2.11,74.6,1.65
1,9,3,28.95,98.44,1.81
1,9,4,47.24,69.62,4.66
1,9,5,53.89,83.61,2.22
1,9,6,37.05,70.19,4.08
1,9,7,26.08,77.93,1.96
1,9,8,59.29,71.64,2.41
1,9,9,56.63,93.09,4.16
1,9,10,21.26,73.73,3.67
1,9,11,0.21,96.49,4.74
1,9,12,43.1,80.81,3.42
1,9,13,16.2,93.31,4.8
1,9,14,13.88,71.07,2.19
1,9,15,58.05,70.4,4.16
1,9,16,41.75,68.14,3.1
1,9,17,0.4,50.12,3.28
1,9,18,25.14,66.63,2.38
1,9,19,0.46,73.0,1.35
1,9,20,30.22,65.25,1.25
1,9,21,55.46,58.45,4.82
1,9,22,37.8,58.03,3.84
1,9,23,52.13,50.78,1.54
1,9,24,57.15,60.61,4.78
1,9,25,57.56,89.49,2.54
1,9,26,36.08,69.64,4.25
1,9,27,19.4,70.28,4.12
1,9,28,9.86,51.38,4.23
1,9,29,17.51,54.37,3.62
1,9,30,23.49,56.55,1.64
1,9,31,34.17,52.33,2.28
1,9,32,49.79,61.73,4.61
1,9,33,51.19,82.15,4.12
1,9,34,57.3,68.69,2.67
1,9,35,2.51,77.72,4.69
1,9,36,50.5,90.51,1.93
1,9,37,26.32,74.27,3.19
1,9,38,4.25,92.84,4.03
1,9,39,54.49,51.12,1.76
1,9,40,23.41,61.31,2.49
1,9,41,27.56,61.45,3.28
1,9,42,53.03,56.58,4.03
1,9,43,2.91,75.72,2.66
1,9,44,23.66,62.51,4.16
1,9,45,58.67,81.76,1.54
1,9,46,45.82,99.77,3.35
1,9,47,42.47,95.32,1.07
1,9,48,52.84,70.82,2.54
1,9,49,29.89,74.68,2.68
1,9,50,8.67,63.08,4.97
1,9,51,9.15,73.71,4.76
1,9,52,0.79,55.85,3.87
1,9,53,49.08,97.52,1.3
1,9,54,24.56,83.61,4.11
1,9,55,58.36,50.54,2.38
1,9,56,15.71,55.23,2.87
1,9,57,59.04,91.68,4.61
1,9,58,2.88,89.46,3.46
1,9,59,7.43,81.23,2.33
1,9,60,16.89,77.17,3.79
1,9,61,59.11,86.91,1.43
1,9,62,7.84,71.32,3.77
1,9,63,21.38,84.75,2.77
1,9,64,46.08,69.61,3.03
1,9,65,40.49,92.49,4.38
1,9,66,2.71,97.17,2.85
1,9,67,4.33,62.49,2.61
1,9,68,14.53,68.65,1.04
1,9,69,1.99,83.26,2.84
1,9,70,30.16,79.9,3.15
1,10,1,32.29,90.11,2.92
1,10,2,35.44,94.18,4.87
1,10,3,33.6,85.04,4.99
1,10,4,33.87,92.57,4.73
1,10,5,59.43,72.35,4.81
1,10,6,4.41,64.41,4.62
1,10,7,50.76,97.4,3.93
1,10,8,24.04,71.19,4.26
1,10,9,20.7,97.89,2.3
1,10,10,37.59,69.81,4.36
1,10,11,51.45,98.1,1.32
1,10,12,24.52,91.97,2.81
1,10,13,57.39,62.87,4.87
1,10,14,40.99,89.66,4.61
1,10,15,42.81,61.09,2.51
1,10,16,9.59,69.69,1.76
1,10,17,20.82,51.58,4.15
1,10,18,23.76,90.33,1.91
1,10,19,9.19,96.04,2.73
1,10,20,56.94,90.46,2.04
1,10,21,46.77,73.59,3.78
1,10,22,16.58,79.78,4.36
1,10,23,38.32,82.71,2.22
1,10,24,56.65,59.3,1.32
1,10,25,32.9,70.5,4.99
1,10,26,12.81,51.83,1.8
1,10,27,57.44,85.15,3.23
1,10,28,32.59,68.31,4.46
1,10,29,52.49,91.83,1.52
1,10,30,23.84,75.97,3.51
1,10,31,33.0,63.61,2.76
1,10,32,12.19,55.76,2.82
1,10,33,16.49,50.52,2.78
1,10,34,21.51,93.59,1.12
1,10,35,9.44,78.86,3.84
1,10,36,37.43,84.59,4.5
1,10,37,7.91,76.13,4.33
1,10,38,57.84,53.73,4.55
1,10,39,22.99,85.21,4.3
1,10,40,19.74,81.98,2.1
1,10,41,43.25,59.56,3.51
1,10,42,1.25,96.42,3.0
1,10,43,1.44,76.19,3.99
1,10,44,10.62,75.16,4.88
1,10,45,49.0,62.22,3.71
1,10,46,51.72,72.82,3.58
1,10,47,28.88,96.99,5.0
1,10,48,17.01,52.36,1.12
1,10,49,6.8,51.32,4.36
1,10,50,6.59,92.74,1.83
1,10,51,36.13,51.2,3.74
1,10,52,54.13,99.59,3.43
1,10,53,46.61,51.9,2.48
1,10,54,51.18,80.6,4.51
1,10,55,53.96,73.36,2.0
1,10,56,59.73,98.19,1.64
1,10,57,38.92,66.25,1.28
1,10,58,47.29,79.95,1.75
1,10,59,20.23,67.92,4.86
1,10,60,42.78,54.09,1.69
1,10,61,2.08,75.64,2.89
1,10,62,43.12,91.12,4.51
1,10,63,34.42,90.03,1.14
1,10,64,47.67,82.79,4.27
1,10,65,38.38,84.38,2.73
1,10,66,8.41,57.53,2.74
1,10,67,2.18,66.82,2.14
1,10,68,21.32,84.63,1.04
1,10,69,19.52,69.36,1.07
1,10,70,7.98,95.46,1.61
1,11,1,25.07,74.94,2.6
1,11,2,46.67,94.43,4.13
1,11,3,2.63,93.3,4.49
1,11,4,21.01,75.49,4.88
1,11,5,32.82,57.34,4.46
1,11,6,18.97,99.49,3.99
1,11,7,22.08,78.18,2.71
1,11,8,53.15,53.78,1.12
1,11,9,4.64,85.55,3.4
1,11,10,28.24,53.44,1.23
1,11,11,26.8,50.56,1.78
1,11,12,23.45,81.2,1.09
1,11,13,11.1,66.78,2.09
1,11,14,57.61,51.57,2.28
1,11,15,55.01,56.85,3.41
1,11,16,27.98,69.11,1.02
1,11,17,14.93,88.51,2.68
1,11,18,34.06,51.12,1.1
1,11,19,34.46,61.61,4.61
1,11,20,33.1,94.6,2.71
1,11,21,6.69,79.83,2.21
1,11,22,1.32,63.25,1.56
1,11,23,30.87,57.88,1.56
1,11,24,54.94,94.52,2.33
1,11,25,5.7,91.09,4.17
1,11,26,16.56,61.95,2.24
1,11,27,49.36,73.24,2.74
1,11,28,37.9,52.05,2.56
1,11,29,4.96,64.1,3.83
1,11,30,33.75,96.29,3.56
1,11,31,35.59,92.75,1.04
1,11,32,5.08,80.69,4.87
1,11,33,28.32,78.91,3.34
1,11,34,44.28,79.23,3.28
1,11,35,38.22,62.89,3.33
1,11,36,23.96,72.75,2.76
1,11,37,1.22,60.11,3.38
1,11,38,45.55,97.41,4.61
1,11,39,35.24,80.42,2.3
1,11,40,3.21,50.75,3.08
1,11,41,29.5,91.76,1.12
1,11,42,12.87,88.1,3.14
1,11,43,15.8,73.79,4.38
1,11,44,40.84,63.55,4.02
1,11,45,29.23,69.99,2.91
1,11,46,56.56,51.12,1.4
1,11,47,5.96,79.66,4.8
1,11,48,51.98,94.19,1.16
1,11,49,51.79,68.2,1.18
1,11,50,14.55,82.1,3.13
1,11,51,19.91,80.3,2.03
1,11,52,47.72,83.41,3.82
1,11,53,58.34,59.49,1.08
1,11,54,17.03,76.84,2.38
1,11,55,9.48,82.11,4.49
1,11,56,26.47,98.04,2.69
1,11,57,47.99,65.88,2.37
1,11,58,58.38,93.39,4.54
1,11,59,32.56,76.03,1.24
1,11,60,40.63,57.26,2.11
1,11,61,10.73,68.44,3.1
1,11,62,56.89,50.72,4.13
1,11,63,45.97,55.28,4.66
1,11,64,35.52,77.36,3.82
1,11,65,40.95,89.91,4.83
1,11,66,36.06,88.75,4.48
1,11,67,47.51,66.1,1.91
1,11,68,45.44,62.59,1.09
1,11,69,9.31,69.65,2.74
1,11,70,20.8,57.69,4.81
1,12,1,8.72,50.47,3.35
1,12,2,8.87,60.25,4.38
1,12,3,43.25,64.31,3.95
