driver_id,race_id,lap_number,reaction_time,braking_points,acceleration_points,cornering_speed,overall_performance_rating
1,1,57,0.2,10,17,71.52,9.9
1,1,58,0.83,18,2,73.82,9.93
1,1,59,0.7,5,19,86.25,5.41
1,1,60,0.14,10,8,134.19,8.01
1,1,61,0.72,3,5,52.09,8.81
1,1,62,0.95,2,20,101.72,5.05
1,1,63,0.98,5,18,54.57,9.54
1,1,64,0.2,19,15,121.74,3.22
1,1,65,0.53,1,10,125.71,1.91
1,1,66,0.13,14,14,137.27,7.75
1,1,67,0.52,11,17,100.39,8.47
1,1,68,0.87,5,2,141.46,9.27
1,1,69,0.46,6,15,69.74,2.22
1,1,70,0.76,17,3,55.75,7.6
2,1,1,0.76,6,4,73.21,3.0
2,1,2,0.19,6,19,109.47,2.73
2,1,3,0.86,20,10,73.34,6.31
2,1,4,0.79,10,6,53.1,6.75
2,1,5,0.21,2,2,142.91,5.1
2,1,6,0.66,13,10,131.78,8.27
2,1,7,0.36,11,4,53.76,2.97
2,1,8,0.43,16,13,88.94,4.91
2,1,9,0.56,5,16,61.42,1.52
2,1,10,0.28,19,7,53.03,8.99
2,1,11,0.37,7,17,127.89,2.22
2,1,12,0.86,5,5,120.45,2.8
2,1,13,0.95,8,20,144.1,4.21
2,1,14,0.79,3,1,89.69,3.91
2,1,15,0.17,1,4,68.66,4.42
2,1,16,0.15,3,1,91.73,4.23
2,1,17,0.71,11,1,115.51,1.32
2,1,18,0.62,7,3,127.8,7.66
2,1,19,0.49,3,10,57.01,5.87
2,1,20,0.44,7,6,142.19,6.83
2,1,21,0.6,20,18,140.73,4.96
2,1,22,0.43,5,15,98.77,2.17
2,1,23,0.4,10,19,51.66,7.29
2,1,24,0.96,7,3,84.0,7.87
2,1,25,0.83,15,3,99.85,8.22
2,1,26,0.77,13,15,50.18,8.33
2,1,27,0.82,12,7,82.09,1.74
2,1,28,0.55,5,9,56.68,6.87
2,1,29,0.91,11,9,67.29,1.92
2,1,30,0.8,2,12,145.75,4.34
2,1,31,0.94,16,18,133.86,5.67
2,1,32,0.75,1,6,121.92,7.43
2,1,33,0.42,20,9,129.48,6.71
2,1,34,0.64,10,2,141.64,9.45
2,1,35,0.86,15,8,87.42,8.35
2,1,36,0.88,13,19,66.21,7.89
2,1,37,0.68,14,15,76.47,1.98
2,1,38,0.2,5,19,135.75,3.88
2,1,39,0.65,2,13,92.11,1.46
2,1,40,0.61,15,11,63.75,6.64
2,1,41,0.5,14,18,89.0,6.32
2,1,42,0.58,7,11,131.26,6.83
2,1,43,0.47,19,20,87.46,3.93
2,1,44,0.5,17,19,111.16,7.6
2,1,45,0.64,10,1,78.87,7.78
2,1,46,0.12,11,9,68.17,9.18
2,1,47,0.76,5,11,54.61,2.44
2,1,48,0.96,13,2,84.26,8.45
2,1,49,0.98,8,20,70.95,9.28
2,1,50,0.95,8,11,68.84,7.98
2,1,51,0.45,5,8,90.92,9.56
2,1,52,0.64,20,5,66.57,9.27
2,1,53,0.87,4,19,121.82,1.33
2,1,54,0.6,3,1,80.27,3.88
2,1,55,0.18,7,18,69.74,4.59
2,1,56,0.63,7,7,64.75,9.81
2,1,57,0.24,6,6,58.38,1.61
2,1,58,0.38,13,17,147.53,2.43
2,1,59,0.68,12,12,128.13,1.71
2,1,60,0.91,11,14,79.27,2.71
2,1,61,0.28,16,8,68.46,8.98
2,1,62,0.53,20,6,71.01,3.71
2,1,63,0.85,19,14,130.92,3.65
2,1,64,0.28,17,3,144.51,7.39
2,1,65,0.21,14,9,73.16,2.29
2,1,66,0.56,11,17,140.31,1.67
2,1,67,0.66,18,17,142.57,8.81
2,1,68,0.51,5,12,69.41,4.34
2,1,69,0.9,3,8,68.91,1.37
2,1,70,0.76,16,14,74.14,6.53
3,1,1,0.2,6,3,66.83,9.63
3,1,2,0.22,10,15,101.1,8.69
3,1,3,0.24,6,13,86.64,2.15
3,1,4,0.94,3,6,62.8,8.76
3,1,5,0.26,2,12,126.46,7.59
3,1,6,0.41,2,9,137.4,5.99
3,1,7,0.18,5,12,72.7,7.66
3,1,8,0.95,11,2,84.52,2.68
3,1,9,0.2,14,9,84.73,5.99
3,1,10,0.4,8,8,146.31,4.79
3,1,11,0.48,1,6,136.5,9.01
3,1,12,0.68,5,5,60.73,9.3
3,1,13,0.54,10,5,55.0,4.31
3,1,14,0.58,9,10,128.22,9.57
3,1,15,0.99,7,2,74.59,3.59
3,1,16,0.44,2,3,144.22,8.89
3,1,17,0.7,3,13,105.61,3.77
3,1,18,0.38,2,12,142.3,5.26
3,1,19,0.38,8,4,68.75,7.21
3,1,20,0.33,8,6,54.5,8.68
3,1,21,0.92,12,11,98.85,8.87
3,1,22,0.89,6,5,89.91,6.4
3,1,23,0.23,14,3,61.73,4.3
3,1,24,0.39,14,2,115.55,4.64
3,1,25,0.68,4,10,70.97,4.06
3,1,26,0.17,9,17,88.7,2.64
3,1,27,0.92,6,16,67.12,4.13
3,1,28,0.75,20,12,73.9,3.68
3,1,29,0.25,19,18,129.52,6.63
3,1,30,0.39,9,15,136.42,1.89
3,1,31,0.44,9,6,120.63,3.62
3,1,32,0.47,18,14,61.47,5.65
3,1,33,0.26,10,4,148.75,1.74
3,1,34,0.67,4,17,94.8,8.33
3,1,35,0.64,11,8,102.38,8.3
3,1,36,0.45,9,18,100.17,1.37
3,1,37,0.54,9,12,89.7,6.01
3,1,38,0.32,2,10,96.26,2.9
3,1,39,0.27,5,13,97.08,3.86
3,1,40,0.52,13,19,139.22,1.54
3,1,41,0.95,11,20,73.38,4.61
3,1,42,0.99,14,9,131.42,3.48
3,1,43,0.11,9,20,86.95,4.93
3,1,44,0.29,9,1,74.77,2.53
3,1,45,0.64,14,19,80.31,5.11
3,1,46,0.15,14,20,118.77,4.82
3,1,47,0.56,14,13,93.18,4.63
3,1,48,0.19,16,20,137.18,7.37
3,1,49,0.95,1,13,86.01,1.74
3,1,50,0.73,12,11,104.04,4.32
3,1,51,0.44,16,16,86.25,7.83
3,1,52,0.48,6,14,86.63,8.75
3,1,53,0.22,13,13,107.15,5.51
3,1,54,0.3,8,14,147.6,3.44
3,1,55,0.77,1,5,109.53,3.5
3,1,56,0.12,17,8,64.95,4.56
3,1,57,0.8,6,16,59.55,4.67
3,1,58,0.62,1,8,135.31,3.82
3,1,59,0.63,5,15,134.05,3.81
3,1,60,0.73,17,11,57.88,1.14
3,1,61,0.34,4,5,130.79,7.03
3,1,62,0.57,17,13,99.22,5.94
3,1,63,0.83,16,14,74.77,1.15
3,1,64,0.67,5,15,140.21,8.38
3,1,65,0.99,13,9,140.59,2.46
3,1,66,0.16,1,1,142.65,5.76
3,1,67,0.57,14,6,138.82,7.26
3,1,68,0.57,13,17,120.58,1.73
3,1,69,0.94,8,15,149.14,3.01
3,1,70,0.75,9,13,120.49,9.92
4,1,1,0.96,4,10,74.45,1.31
4,1,2,0.75,7,17,134.49,7.73
4,1,3,0.42,17,10,108.74,2.18
4,1,4,0.88,14,8,74.92,9.41
4,1,5,0.33,14,17,52.16,2.65
4,1,6,0.17,19,1,115.06,5.3
4,1,7,0.8,15,7,62.36,4.06
4,1,8,0.8,2,9,112.82,6.88
4,1,9,0.68,9,16,110.1,9.08
4,1,10,0.84,17,12,132.75,8.8
4,1,11,0.44,4,11,58.65,4.17
4,1,12,0.82,15,7,114.4,6.29
4,1,13,0.26,20,20,100.88,8.0
4,1,14,0.8,6,3,140.06,8.46
4,1,15,0.68,9,17,133.71,8.57
4,1,16,0.92,12,2,106.12,8.79
4,1,17,0.28,10,8,139.27,6.13
4,1,18,0.35,10,6,52.03,4.59
4,1,19,0.2,20,14,75.34,7.57
4,1,20,0.18,9,15,121.57,1.02
4,1,21,0.61,11,7,95.34,3.96
4,1,22,0.89,5,1,64.68,8.87
4,1,23,0.15,2,17,108.89,7.37
4,1,24,0.37,8,15,78.61,8.73
4,1,25,0.62,6,11,97.29,8.77
4,1,26,0.1,8,1,55.12,3.41
4,1,27,0.59,7,3,102.43,3.71
4,1,28,0.19,13,12,62.39,6.36
4,1,29,0.26,12,18,144.96,1.25
4,1,30,0.9,15,3,131.63,4.72
4,1,31,0.99,7,20,76.82,8.91
4,1,32,0.77,16,6,79.51,8.24
4,1,33,0.66,5,11,133.54,7.8
4,1,34,0.8,8,6,93.16,4.69
4,1,35,0.8,9,14,148.7,6.41
4,1,36,0.26,3,18,142.44,1.56
4,1,37,0.81,4,7,131.96,3.04
4,1,38,0.48,17,18,75.98,3.44
4,1,39,0.77,11,5,58.93,6.09
4,1,40,0.79,1,1,87.5,6.4
4,1,41,0.24,18,8,144.76,9.94
4,1,42,0.83,18,1,138.2,5.78
4,1,43,0.29,18,11,101.61,7.82
4,1,44,0.41,18,8,68.85,1.53
4,1,45,0.31,14,6,104.79,4.86
4,1,46,0.18,8,9,123.0,2.71
4,1,47,0.35,9,5,122.17,2.84
4,1,48,0.95,19,5,131.78,3.33
4,1,49,0.19,13,8,141.55,3.93
4,1,50,0.12,1,18,134.15,6.26
4,1,51,0.81,19,6,51.7,7.73
4,1,52,0.86,11,11,81.23,7.27
4,1,53,0.77,9,7,86.22,7.02
4,1,54,0.48,5,14,110.89,6.65
4,1,55,0.53,3,18,60.65,4.39
4,1,56,0.77,10,3,108.47,7.58
4,1,57,0.91,12,1,140.9,1.06
4,1,58,0.31,8,6,56.33,2.65
4,1,59,0.31,6,13,57.17,2.9
4,1,60,0.12,1,12,114.06,6.16
4,1,61,0.51,4,5,50.42,5.06
4,1,62,0.5,9,2,137.88,4.53
4,1,63,0.66,5,8,69.96,3.16
4,1,64,0.85,8,14,146.3,4.46
4,1,65,0.12,7,15,118.49,6.23
4,1,66,0.74,20,3,71.71,6.14
4,1,67,0.92,8,6,149.49,6.31
4,1,68,0.54,14,18,124.94,8.33
4,1,69,0.14,13,18,116.9,9.56
4,1,70,0.82,1,13,98.63,8.08
5,1,1,0.66,5,3,133.25,8.35
5,1,2,0.15,6,10,95.09,4.67
5,1,3,0.91,16,9,92.96,3.48
5,1,4,0.22,11,7,125.3,4.83
5,1,5,0.38,17,11,122.8,4.83
5,1,6,0.43,10,18,86.28,8.16
5,1,7,0.5,5,11,103.88,4.96
5,1,8,0.86,9,18,106.62,7.45
5,1,9,0.22,3,19,96.42,7.75
5,1,10,0.58,14,12,122.3,6.97
5,1,11,0.76,8,20,76.36,2.74
5,1,12,0.66,14,2,77.05,2.86
5,1,13,0.21,11,15,88.84,5.84
5,1,14,0.65,20,8,139.39,7.47
5,1,15,0.68,15,14,56.64,4.39
5,1,16,0.11,7,2,137.51,4.71
5,1,17,0.62,4,7,137.81,6.43
5,1,18,0.99,17,2,81.99,1.62
5,1,19,0.88,19,9,135.18,9.53
5,1,20,0.58,20,14,75.78,9.08
5,1,21,0.74,12,14,120.66,1.74
5,1,22,0.97,10,17,62.36,5.3
5,1,23,0.94,15,11,82.38,5.38
5,1,24,0.53,17,6,108.46,5.93
5,1,25,0.76,6,20,62.65,1.94
5,1,26,0.42,19,14,71.99,3.19
5,1,27,0.44,9,17,89.57,2.82
5,1,28,0.26,17,1,87.72,8.07
5,1,29,0.85,6,8,129.03,4.36
5,1,30,0.5,3,6,67.42,7.53
5,1,31,0.88,2,15,88.58,6.04
5,1,32,0.73,13,19,67.04,8.57
5,1,33,0.77,16,18,98.12,1.61
5,1,34,0.66,9,10,107.84,2.17
5,1,35,0.94,8,5,55.68,6.88
5,1,36,0.6,18,12,74.54,9.45
5,1,37,0.64,14,13,126.84,9.65
5,1,38,0.26,11,2,143.0,9.62
5,1,39,0.65,6,6,63.97,5.84
5,1,40,0.19,20,11,97.34,6.29
5,1,41,0.34,7,5,51.61,2.15
5,1,42,0.27,11,8,121.59,1.54
5,1,43,0.36,19,7,132.03,9.8
5,1,44,0.69,15,18,133.89,7.09
5,1,45,0.53,20,5,64.14,6.59
5,1,46,0.89,4,13,94.85,4.79
5,1,47,0.7,11,15,94.41,6.6
5,1,48,0.4,9,8,58.16,7.47
5,1,49,0.63,12,16,95.13,6.34
5,1,50,0.26,7,16,84.88,3.16
5,1,51,0.35,3,18,135.62,5.72
5,1,52,0.13,5,14,109.55,2.87
5,1,53,0.21,14,18,132.07,5.61
5,1,54,0.48,7,19,147.73,3.95
5,1,55,0.78,3,14,51.46,6.94
5,1,56,0.44,15,3,129.14,5.39
5,1,57,0.82,18,7,62.54,1.31
5,1,58,0.42,7,9,68.57,8.65
5,1,59,0.32,9,2,133.23,5.68
5,1,60,0.83,20,6,74.13,3.9
5,1,61,0.66,15,15,115.06,6.56
5,1,62,0.35,20,6,108.56,5.12
5,1,63,0.45,7,1,140.03,2.67
5,1,64,0.34,15,12,64.18,7.62
5,1,65,0.7,17,16,103.23,9.93
5,1,66,0.59,12,9,54.91,1.47
5,1,67,0.7,10,15,64.54,4.8
5,1,68,0.51,2,8,100.75,7.86
5,1,69,0.85,17,7,104.52,3.14
5,1,70,0.75,18,4,78.41,1.92
6,1,1,0.24,3,4,60.04,5.24
6,1,2,0.9,7,11,70.07,2.46
6,1,3,0.58,11,1,77.74,2.27
6,1,4,0.92,4,10,113.44,8.09
6,1,5,0.86,9,11,118.06,2.18
6,1,6,0.19,17,20,62.52,9.01
6,1,7,0.44,4,14,86.9,6.39
6,1,8,0.43,6,20,55.48,8.55
6,1,9,0.33,1,3,104.58,3.94
6,1,10,0.18,8,14,75.29,1.12
6,1,11,0.39,3,17,131.5,4.95
6,1,12,0.91,9,20,140.78,8.1
6,1,13,0.78,17,4,68.91,9.75
6,1,14,0.42,11,13,74.75,3.2
6,1,15,0.28,5,5,106.51,6.34
6,1,16,0.22,20,13,136.2,8.98
6,1,17,0.7,3,2,93.84,6.28
6,1,18,0.12,4,15,132.06,8.78
6,1,19,0.59,16,19,112.34,7.05
6,1,20,0.37,7,19,90.92,5.59
6,1,21,0.5,2,11,86.98,1.06
6,1,22,0.14,11,20,88.03,6.36
6,1,23,1.0,16,18,74.55,3.31
6,1,24,0.79,7,11,91.75,3.19
6,1,25,0.57,2,3,149.22,8.32
6,1,26,0.23,15,15,148.84,8.61
6,1,27,0.62,8,9,145.76,8.99
6,1,28,0.2,12,2,148.33,4.45
6,1,29,0.41,12,3,133.58,3.66
6,1,30,0.24,8,2,135.45,1.31
6,1,31,0.55,2,9,101.62,9.85
6,1,32,0.58,17,12,104.09,2.02
6,1,33,0.57,14,16,117.45,7.13
6,1,34,0.51,10,18,125.39,5.49
6,1,35,0.35,6,4,103.59,3.97
6,1,36,0.24,4,18,135.04,5.46
6,1,37,0.57,14,14,104.52,6.78
6,1,38,0.18,16,7,77.99,7.42
6,1,39,0.54,16,13,108.22,7.82
6,1,40,0.69,6,6,101.61,5.33
6,1,41,0.84,9,4,134.21,2.96
6,1,42,0.97,4,20,115.37,9.64
6,1,43,0.48,1,10,91.31,6.85
6,1,44,0.73,18,10,81.19,7.11
6,1,45,0.85,3,7,94.98,2.75
6,1,46,0.53,15,16,124.92,5.87
6,1,47,0.12,7,20,65.16,1.44
6,1,48,0.62,8,19,142.64,5.69
6,1,49,0.91,11,2,137.08,1.67
6,1,50,0.17,14,13,74.15,3.13
6,1,51,0.44,7,2,143.16,8.75
6,1,52,0.25,1,5,86.94,7.2
6,1,53,0.89,14,18,145.01,9.35
6,1,54,0.26,10,19,74.02,1.16
6,1,55,0.75,12,12,109.76,6.93
6,1,56,0.84,8,8,57.27,1.02
6,1,57,0.12,20,20,98.83,3.68
6,1,58,0.49,3,18,59.93,9.22
6,1,59,0.96,17,12,69.84,7.83
6,1,60,0.57,11,15,142.87,4.27
6,1,61,0.65,11,20,98.44,6.47
6,1,62,0.36,16,8,147.57,3.94
6,1,63,0.83,3,20,81.66,1.33
6,1,64,0.83,10,15,84.0,1.51
6,1,65,0.89,18,10,56.54,2.93
6,1,66,0.99,16,14,144.85,7.34
6,1,67,0.7,17,7,83.85,7.7
6,1,68,0.21,20,13,66.66,2.77
6,1,69,0.36,18,7,126.14,9.75
6,1,70,0.97,7,3,147.59,4.53
7,1,1,0.71,4,5,145.25,6.19
7,1,2,0.24,12,11,87.86,9.78
7,1,3,0.28,10,14,74.37,1.91
7,1,4,0.54,15,9,103.26,5.28
7,1,5,0.98,2,13,116.26,5.01
7,1,6,0.87,11,2,126.46,4.42
7,1,7,0.34,2,13,62.7,1.81
7,1,8,0.59,20,8,134.71,2.44
7,1,9,0.19,19,7,62.4,1.61
7,1,10,0.59,13,3,66.36,5.81
7,1,11,0.94,3,5,83.08,1.53
7,1,12,0.97,16,16,148.4,5.36
7,1,13,0.7,19,17,129.32,7.88
7,1,14,0.38,10,13,149.91,7.12
7,1,15,0.18,19,14,128.98,8.69
7,1,16,0.95,10,3,109.65,5.17
7,1,17,0.39,7,8,143.96,8.56
7,1,18,0.6,9,11,62.94,7.66
7,1,19,0.27,11,11,80.64,6.93
7,1,20,0.99,20,4,139.42,8.52
7,1,21,0.93,9,10,130.22,6.54
7,1,22,0.89,3,20,116.62,8.57
7,1,23,0.24,14,20,148.65,6.91
7,1,24,0.16,2,8,112.35,6.35
7,1,25,0.7,6,11,88.74,8.21
7,1,26,0.2,5,7,93.68,5.64
7,1,27,0.28,3,10,125.99,4.14
7,1,28,0.97,12,13,109.23,9.38
7,1,29,0.34,20,12,55.42,6.68
7,1,30,0.56,13,14,125.15,5.82
7,1,31,0.76,10,5,137.54,5.01
7,1,32,0.73,6,12,66.06,4.71
7,1,33,0.98,17,1,90.96,1.65
7,1,34,0.11,13,10,145.78,9.11
7,1,35,0.69,1,12,116.43,8.03
7,1,36,0.95,9,9,55.63,9.25
7,1,37,0.66,3,11,67.58,6.22
7,1,38,0.59,8,11,71.88,7.06
7,1,39,0.62,18,6,87.72,1.08
7,1,40,0.15,14,9,119.64,8.08
7,1,41,0.62,12,13,127.51,8.75
7,1,42,0.59,12,6,124.41,1.53
7,1,43,0.99,2,5,91.42,5.12
7,1,44,0.19,11,7,113.33,7.76
7,1,45,0.85,17,16,103.45,5.4
7,1,46,0.93,5,1,132.6,2.51
7,1,47,0.44,11,8,149.65,7.56
7,1,48,0.22,17,1,144.01,7.36
7,1,49,0.69,3,11,112.38,1.42
7,1,50,0.53,15,6,109.82,7.42
7,1,51,0.87,6,20,146.42,7.09
7,1,52,0.12,15,9,78.61,6.74
7,1,53,0.11,1,8,122.94,6.88
7,1,54,0.53,20,6,70.12,7.66
7,1,55,0.68,9,13,58.37,8.63
7,1,56,0.1,7,17,64.06,1.48
7,1,57,0.5,11,14,56.38,5.44
7,1,58,0.82,5,16,107.61,7.63
7,1,59,0.69,7,19,65.47,8.52
7,1,60,0.26,2,20,52.67,9.83
7,1,61,0.89,11,20,51.44,3.71
7,1,62,0.17,3,4,51.9,3.29
7,1,63,0.37,18,7,104.18,5.99
7,1,64,0.29,19,18,126.55,4.3
7,1,65,0.25,6,3,149.9,3.52
7,1,66,0.49,6,10,84.78,4.77
7,1,67,0.48,16,2,79.31,6.45
7,1,68,0.74,5,16,59.63,3.77
7,1,69,0.62,19,20,95.81,4.36
7,1,70,0.49,20,6,134.05,6.14
8,1,1,0.73,9,13,94.94,7.35
8,1,2,0.69,19,17,111.08,9.68
8,1,3,0.47,12,19,144.01,4.51
8,1,4,0.29,4,8,108.45,2.25
8,1,5,0.34,8,20,86.86,8.06
8,1,6,0.25,7,15,116.71,8.35
8,1,7,0.67,2,5,70.8,3.25
8,1,8,0.92,12,8,140.26,3.06
8,1,9,0.68,1,18,57.86,9.44
8,1,10,0.75,4,14,73.98,8.03
8,1,11,0.53,15,16,144.05,7.17
8,1,12,0.7,16,2,116.68,2.34
8,1,13,0.29,15,20,130.24,1.63
8,1,14,0.67,12,17,84.1,8.54
8,1,15,0.72,19,10,78.0,7.0
8,1,16,0.74,11,8,107.91,3.84
8,1,17,0.28,13,20,123.67,6.53
8,1,18,0.47,11,17,135.29,5.2
8,1,19,0.31,2,4,128.7,4.27
8,1,20,0.6,20,3,141.78,9.1
8,1,21,0.34,5,16,93.77,6.79
8,1,22,0.32,17,18,63.05,8.87
8,1,23,0.89,18,15,105.84,3.25
8,1,24,0.37,20,10,82.77,4.8
8,1,25,0.1,17,9,104.36,1.83
8,1,26,0.46,19,9,128.17,5.02
8,1,27,0.57,17,4,127.66,1.18
8,1,28,0.15,14,15,140.63,6.3
8,1,29,0.28,1,13,134.7,6.51
8,1,30,0.52,7,11,84.47,1.71
8,1,31,0.7,6,13,144.95,7.2
8,1,32,0.85,15,16,80.93,2.29
8,1,33,0.57,4,15,98.59,2.83
8,1,34,0.58,15,19,70.25,3.48
8,1,35,0.51,5,13,129.16,7.27
8,1,36,0.91,13,2,77.41,1.22
8,1,37,0.41,15,1,95.21,5.64
8,1,38,0.65,3,19,109.42,8.12
8,1,39,0.42,4,20,85.2,9.56
8,1,40,0.91,15,12,94.64,6.79
8,1,41,0.65,11,14,137.99,9.1
8,1,42,0.63,9,19,138.53,8.02
8,1,43,0.26,16,8,62.26,4.25
8,1,44,0.85,17,10,81.35,7.97
8,1,45,0.15,8,18,147.85,9.15
8,1,46,0.96,13,12,122.08,7.28
8,1,47,0.49,3,18,113.82,2.95
8,1,48,0.84,3,18,127.08,8.83
8,1,49,0.28,7,17,118.05,7.69
8,1,50,0.36,3,8,118.86,3.05
8,1,51,0.51,6,1,89.92,3.76
8,1,52,0.17,11,16,76.53,4.98
8,1,53,0.94,4,13,146.69,5.56
8,1,54,0.15,7,20,51.31,2.43
8,1,55,0.91,20,16,134.88,6.02
8,1,56,0.51,9,20,82.39,1.16
8,1,57,0.46,20,14,74.58,2.67
8,1,58,0.19,1,13,80.9,5.82
8,1,59,0.34,15,16,135.4,1.78
8,1,60,0.24,18,10,112.05,9.62
8,1,61,0.7,5,12,113.24,9.73
8,1,62,0.5,1,19,102.34,5.73
8,1,63,0.8,9,7,75.41,8.67
8,1,64,0.82,1,18,69.1,6.57
8,1,65,0.24,1,4,74.29,4.75
8,1,66,0.77,8,2,58.69,8.54
8,1,67,0.13,17,17,102.44,3.08
8,1,68,0.58,20,10,116.02,3.71
8,1,69,0.37,14,6,90.94,6.27
8,1,70,0.86,11,2,111.84,6.56
9,1,1,0.98,15,3,95.21,7.25
9,1,2,0.85,7,8,130.17,9.04
9,1,3,0.13,15,20,73.38,4.43
9,1,4,0.11,4,6,71.47,4.35
9,1,5,0.28,9,7,133.77,1.97
9,1,6,0.46,20,18,82.28,2.05
9,1,7,0.29,13,6,79.35,7.9
9,1,8,0.27,17,13,145.09,7.03
9,1,9,0.81,1,5,115.54,2.25
9,1,10,0.51,8,19,106.09,2.73
9,1,11,0.26,11,20,82.97,8.71
9,1,12,0.12,20,20,99.7,6.02
9,1,13,0.12,9,1,64.55,6.32
9,1,14,0.45,16,17,132.94,4.17
9,1,15,0.64,4,1,81.04,3.3
9,1,16,0.5,16,8,137.74,6.64
9,1,17,0.25,9,7,58.34,3.82
9,1,18,0.23,7,1,148.13,1.42
9,1,19,0.35,17,12,128.3,6.94
9,1,20,0.66,13,3,53.9,5.02
9,1,21,0.46,17,6,123.27,5.36
9,1,22,0.51,4,16,148.93,8.99
9,1,23,0.5,12,6,117.41,9.79
9,1,24,0.24,20,9,73.68,1.37
9,1,25,0.63,19,16,102.54,4.9
9,1,26,0.65,6,3,87.8,2.61
9,1,27,0.29,3,9,116.32,8.58
9,1,28,0.47,17,14,74.73,5.64
9,1,29,0.71,12,20,105.62,6.52
9,1,30,0.34,5,15,105.29,3.67
9,1,31,0.83,13,12,141.97,1.15
9,1,32,0.74,14,20,147.2,5.01
9,1,33,0.12,19,14,56.15,3.1
9,1,34,0.85,16,12,112.69,7.68
9,1,35,0.13,8,14,97.87,3.95
9,1,36,0.98,12,15,141.77,3.73
9,1,37,0.56,13,1,147.18,8.52
9,1,38,0.89,14,6,92.85,8.28
9,1,39,0.26,8,20,94.2,9.16
9,1,40,0.68,13,19,124.46,2.05
9,1,41,0.35,7,2,112.08,2.35
9,1,42,0.6,13,11,81.62,5.48
9,1,43,0.4,6,3,81.98,2.12
9,1,44,0.47,15,1,115.59,3.28
9,1,45,0.48,15,1,140.53,7.91
9,1,46,0.63,4,19,133.97,5.37
9,1,47,0.46,14,10,148.04,8.33
9,1,48,0.53,11,15,109.66,4.79
9,1,49,0.61,11,11,80.35,1.41
9,1,50,0.19,7,14,88.8,7.44
9,1,51,0.73,14,12,121.41,4.45
9,1,52,0.89,5,8,82.05,4.8
9,1,53,0.39,14,4,82.95,4.02
9,1,54,0.28,6,14,89.85,6.82
9,1,55,0.97,1,14,59.77,9.1
9,1,56,0.2,15,16,118.96,6.79
9,1,57,0.63,7,5,135.77,6.03
9,1,58,0.54,8,11,97.97,9.74
9,1,59,0.99,8,9,100.27,8.99
9,1,60,0.99,16,7,107.35,8.1
9,1,61,0.92,9,11,124.76,2.09
9,1,62,0.38,12,6,90.45,8.67
9,1,63,0.78,3,7,74.61,8.83
9,1,64,0.12,11,18,94.72,9.4
9,1,65,0.22,4,19,51.32,6.48
9,1,66,0.93,9,4,139.55,4.24
9,1,67,0.91,2,10,133.9,4.56
9,1,68,0.78,10,8,88.24,8.69
9,1,69,0.13,7,13,102.62,7.35
9,1,70,0.66,9,5,51.79,7.45
10,1,1,0.96,19,5,142.02,8.37
10,1,2,0.4,6,3,66.09,7.46
