race_id,lap_number,track_temperature,ambient_air_temperature,barometric_pressure,humidity
1,61,19.18,5.06,991.85,45.41
1,62,16.39,6.67,1004.75,76.94
1,63,28.46,25.22,1009.34,52.57
1,64,35.47,14.43,996.89,44.98
1,65,22.85,24.31,983.49,47.29
1,66,37.44,21.68,1033.62,48.87
1,67,24.78,9.06,1048.99,67.06
1,68,23.04,1.2,952.72,69.79
1,69,2.67,31.16,960.95,85.21
1,70,37.37,24.34,1002.38,40.77
2,1,35.14,3.03,1036.32,55.26
2,2,10.21,10.88,1049.01,92.22
2,3,17.74,13.5,1023.89,87.92
2,4,8.79,0.62,1012.87,70.81
2,5,11.95,2.22,994.17,90.14
2,6,34.67,3.5,1047.27,90.6
2,7,37.06,15.14,1015.25,93.67
2,8,15.01,33.73,999.29,55.83
2,9,23.33,16.37,1044.79,89.94
2,10,35.08,6.18,999.9,44.96
2,11,4.21,20.52,1018.95,40.46
2,12,23.55,18.31,1026.2,94.74
2,13,4.04,34.6,980.74,69.53
2,14,16.51,3.45,982.87,32.15
2,15,24.15,22.26,990.85,96.87
2,16,11.48,28.36,981.82,86.25
2,17,34.24,8.49,998.85,92.75
2,18,32.66,18.28,1016.86,52.34
2,19,37.98,18.05,999.72,54.99
2,20,35.12,22.74,967.34,65.73
2,21,39.79,9.68,962.2,99.05
2,22,9.05,1.4,972.5,60.0
2,23,0.6,19.61,1016.85,50.48
2,24,14.51,24.92,1038.55,87.82
2,25,6.67,25.62,982.44,59.72
2,26,11.55,36.0,985.78,78.51
2,27,20.33,3.83,966.43,41.05
2,28,7.22,0.5,1007.06,88.51
2,29,22.36,0.14,1014.32,82.26
2,30,11.79,31.67,966.69,43.4
2,31,33.07,22.97,997.18,92.1
2,32,3.71,15.65,957.37,43.17
2,33,32.87,13.71,976.61,49.93
2,34,15.36,27.4,1046.53,85.6
2,35,8.26,5.43,1030.71,39.58
2,36,37.54,38.37,1046.73,39.81
2,37,1.68,12.49,1036.9,55.73
2,38,1.85,3.88,958.13,92.59
2,39,34.94,36.45,995.57,33.06
2,40,5.46,5.34,1048.93,62.75
2,41,37.79,1.06,1032.01,79.73
2,42,25.62,17.04,1003.73,90.22
2,43,34.4,24.1,1025.9,59.62
2,44,3.34,15.92,981.32,75.31
2,45,29.66,7.99,1004.97,64.14
2,46,9.34,13.79,1041.73,89.39
2,47,0.11,22.77,1033.24,32.35
2,48,13.69,32.52,963.55,65.67
2,49,18.13,8.08,996.3,35.05
2,50,10.07,17.79,989.12,37.21
2,51,36.78,23.09,950.51,89.86
2,52,30.04,6.73,959.88,30.96
2,53,4.59,10.06,1038.66,43.28
2,54,29.46,24.26,1030.15,34.58
2,55,32.47,23.97,964.53,80.32
2,56,22.74,31.45,983.45,84.38
2,57,18.41,25.65,981.16,76.12
2,58,22.26,10.46,966.14,98.37
2,59,23.57,11.87,956.86,92.58
2,60,10.01,5.06,1024.95,36.72
2,61,37.82,26.72,966.79,77.55
2,62,29.44,35.77,1020.94,43.36
2,63,29.91,7.95,973.61,42.87
2,64,18.89,11.22,1011.78,58.61
2,65,35.56,2.7,990.57,66.69
2,66,31.64,37.66,997.9,71.35
2,67,36.33,6.13,1002.57,99.52
2,68,9.03,8.02,1036.9,74.45
2,69,20.27,0.91,1046.79,48.61
2,70,29.78,15.33,1048.62,58.74
3,1,11.74,0.19,1048.58,54.82
3,2,38.56,30.14,954.76,35.35
3,3,19.99,31.0,1026.87,99.34
3,4,18.39,22.13,954.71,45.62
3,5,1.14,30.44,963.76,43.57
3,6,21.36,3.07,1019.18,78.47
3,7,16.09,35.83,1000.96,49.76
3,8,13.14,35.5,976.72,60.82
3,9,7.36,14.02,1018.89,33.01
3,10,33.28,23.26,981.6,56.66
3,11,31.41,38.76,955.43,43.67
3,12,31.17,27.5,1006.0,45.79
3,13,0.22,16.91,1042.78,68.28
3,14,31.72,28.85,1046.01,77.08
3,15,25.76,30.87,963.93,79.03
3,16,19.59,17.24,960.79,65.3
3,17,2.47,23.51,974.55,84.66
3,18,2.7,18.68,993.68,45.09
3,19,15.56,2.02,973.37,60.19
3,20,19.43,19.28,983.75,49.81
3,21,26.47,36.62,981.0,46.92
3,22,36.58,38.04,996.31,63.24
3,23,3.12,25.6,1039.38,34.88
3,24,1.1,5.62,964.7,43.79
3,25,35.2,5.02,1010.84,96.6
3,26,29.94,4.56,1001.11,46.55
3,27,22.77,29.88,1034.35,64.36
3,28,21.73,26.72,1002.37,78.8
3,29,36.35,8.37,1035.15,70.8
3,30,21.66,22.92,952.14,90.97
3,31,39.18,18.3,997.02,67.5
3,32,4.13,6.88,994.32,86.29
3,33,10.27,1.51,1004.66,51.93
3,34,9.0,5.9,1007.88,74.89
3,35,14.19,37.44,1039.09,79.85
3,36,16.11,18.71,1029.22,80.99
3,37,14.91,21.39,1019.37,98.25
3,38,11.42,38.13,996.36,83.1
3,39,20.47,25.9,959.9,34.37
3,40,23.79,6.38,977.77,32.34
3,41,19.78,35.68,1047.46,42.85
3,42,26.7,35.84,975.04,31.28
3,43,33.11,35.87,1018.92,68.06
3,44,3.96,5.84,1047.81,60.27
3,45,35.83,5.53,983.54,33.61
3,46,30.19,24.76,1011.88,49.3
3,47,32.94,9.92,1030.47,72.75
3,48,23.62,22.37,1030.15,92.69
3,49,17.64,23.54,1039.98,58.31
3,50,26.16,15.4,1030.23,60.58
3,51,17.46,29.97,972.79,40.96
3,52,26.13,36.51,990.59,36.37
3,53,11.45,34.09,952.85,37.39
3,54,5.23,18.66,991.69,59.48
3,55,23.08,0.98,953.73,75.19
3,56,28.5,32.2,957.48,35.14
3,57,33.52,8.48,1010.41,89.68
3,58,38.21,10.54,959.94,96.16
3,59,21.78,5.89,1030.53,65.3
3,60,30.01,30.65,953.71,34.93
3,61,17.61,24.49,1038.4,35.95
3,62,2.64,36.99,1002.89,51.02
3,63,3.27,36.27,1041.71,80.3
3,64,25.02,15.42,1042.96,36.1
3,65,1.53,12.59,1041.86,45.25
3,66,27.59,12.13,971.72,56.91
3,67,39.63,10.05,1020.63,31.15
3,68,16.24,12.08,1034.28,34.62
3,69,7.53,13.03,1042.99,36.52
3,70,3.51,35.05,968.69,79.67
4,1,9.94,7.72,1017.54,60.67
4,2,37.79,6.47,980.18,75.72
4,3,38.05,29.65,1001.29,58.46
4,4,28.01,11.52,997.51,68.64
4,5,30.52,17.17,981.56,47.35
4,6,12.34,18.56,955.88,78.09
4,7,20.31,15.95,969.53,58.66
4,8,13.74,19.43,1037.14,55.82
4,9,21.73,16.72,1043.84,71.37
4,10,25.86,28.37,1033.16,48.05
4,11,3.73,21.46,995.21,46.97
4,12,2.26,0.33,1001.52,86.52
4,13,19.77,3.96,1005.88,45.09
4,14,35.04,32.64,950.42,59.58
4,15,23.57,19.29,978.48,32.94
4,16,4.02,1.91,974.22,72.33
4,17,19.82,26.01,1035.69,37.13
4,18,31.85,16.09,972.79,74.44
4,19,37.13,28.77,961.84,79.98
4,20,14.86,17.01,969.78,56.88
4,21,31.53,15.95,984.91,56.36
4,22,12.99,25.52,1005.9,95.03
4,23,9.02,34.04,988.11,51.91
4,24,9.09,14.08,980.85,57.73
4,25,0.39,34.49,960.0,57.32
4,26,13.73,25.56,994.17,63.1
4,27,13.6,24.78,954.51,79.67
4,28,17.01,29.14,963.17,88.75
4,29,23.51,8.61,1045.04,72.74
4,30,25.33,39.46,996.17,92.46
4,31,18.99,15.91,1030.1,48.56
4,32,13.59,37.26,1023.37,80.35
4,33,23.44,21.91,990.45,50.5
4,34,29.36,18.16,1004.81,64.84
4,35,33.9,19.72,1033.12,39.16
4,36,29.71,17.82,986.38,52.7
4,37,24.07,7.4,1014.69,51.43
4,38,13.17,9.89,1009.89,89.13
4,39,9.11,2.59,954.44,91.66
4,40,7.73,27.46,1046.37,88.29
4,41,9.67,27.57,961.79,79.55
4,42,35.4,38.61,965.26,90.01
4,43,31.08,29.62,966.76,87.82
4,44,38.43,10.73,964.12,90.25
4,45,0.67,26.78,1046.49,36.48
4,46,26.84,28.96,969.59,49.66
4,47,7.96,37.17,1007.02,60.14
4,48,14.09,12.04,1041.65,58.93
4,49,15.41,27.84,972.33,32.3
4,50,36.93,17.84,1012.79,74.49
4,51,14.6,1.0,1016.79,61.82
4,52,36.31,25.92,1030.83,86.14
4,53,10.67,11.78,1043.95,74.89
4,54,37.4,2.91,996.4,51.21
4,55,25.76,13.37,1026.03,89.74
4,56,8.43,39.43,966.48,94.86
4,57,27.07,30.75,1046.13,54.62
4,58,28.39,11.14,975.61,43.87
4,59,32.15,24.73,1032.86,71.57
4,60,14.52,33.86,1048.05,99.39
4,61,19.01,31.84,994.73,40.92
4,62,38.35,30.13,1003.0,94.74
4,63,8.83,33.97,1006.25,86.06
4,64,38.37,33.05,1001.33,37.59
4,65,36.09,0.48,1045.15,43.88
4,66,23.88,8.66,961.7,92.93
4,67,25.58,31.28,965.58,87.89
4,68,2.75,37.33,953.19,90.12
4,69,7.54,34.62,1048.71,92.0
4,70,4.53,19.47,1012.15,73.83
5,1,10.97,25.71,970.24,36.17
5,2,35.4,5.51,1024.07,67.57
5,3,20.47,22.78,1013.65,34.12
5,4,4.94,3.12,993.72,99.51
5,5,35.06,32.26,982.17,88.37
5,6,36.82,10.37,953.95,53.05
5,7,8.61,34.44,988.05,67.36
5,8,33.34,26.28,984.16,93.58
5,9,13.13,30.44,1033.73,51.13
5,10,10.26,3.53,1025.19,49.53
5,11,22.22,8.65,1010.88,62.37
5,12,24.29,16.92,993.91,63.67
5,13,34.7,2.05,958.47,48.12
5,14,9.03,22.07,1028.62,77.19
5,15,32.45,32.93,971.38,88.28
5,16,37.56,32.43,1045.47,73.21
5,17,25.66,12.32,1025.65,31.48
5,18,15.82,30.68,1017.46,75.96
5,19,8.47,10.98,1047.83,54.8
5,20,32.53,29.16,960.47,60.39
5,21,18.45,29.81,994.49,80.26
5,22,27.78,12.76,962.79,96.33
5,23,31.63,0.67,993.95,49.13
5,24,5.08,17.31,958.2,33.77
5,25,24.85,18.57,1012.04,54.59
5,26,28.83,11.02,1027.9,99.05
5,27,25.0,26.11,978.14,79.97
5,28,36.23,2.47,1049.93,73.98
5,29,27.24,1.1,1031.61,71.62
5,30,32.14,10.71,972.59,46.76
5,31,33.74,26.43,970.45,54.83
5,32,30.52,26.04,996.58,74.9
5,33,4.63,12.44,976.29,89.45
5,34,0.0,30.65,1020.75,42.64
5,35,24.85,32.23,1030.95,96.38
5,36,15.54,26.34,999.49,84.1
5,37,19.78,13.43,978.8,45.76
5,38,15.17,27.33,960.37,94.95
5,39,30.09,33.56,1018.3,38.08
5,40,13.58,36.78,960.84,63.06
5,41,13.68,39.06,975.0,88.59
5,42,36.18,3.34,1031.67,67.92
5,43,25.21,6.1,966.86,56.87
5,44,36.27,5.54,1017.02,74.1
5,45,20.4,19.43,974.19,40.01
5,46,10.52,15.11,998.99,34.13
5,47,0.66,3.25,995.78,85.42
5,48,34.29,37.61,981.53,30.81
5,49,25.85,1.72,1000.13,33.36
5,50,38.25,3.9,1048.19,32.11
5,51,34.24,20.84,981.13,79.12
5,52,10.13,26.07,961.72,44.09
5,53,29.04,5.48,1005.73,94.4
5,54,6.18,20.07,988.95,46.62
5,55,3.3,0.64,979.72,50.03
5,56,10.22,2.02,1028.66,87.69
5,57,39.82,14.54,980.58,96.99
5,58,0.19,17.35,1038.26,44.48
5,59,5.55,5.03,997.75,77.79
5,60,36.47,1.48,1004.01,94.22
5,61,22.6,19.3,991.55,95.16
5,62,21.98,3.29,986.58,43.59
5,63,4.2,25.69,991.78,82.26
5,64,8.47,1.5,1004.6,58.93
5,65,20.54,33.8,999.69,55.85
5,66,2.67,4.58,972.55,54.24
5,67,11.71,32.68,994.43,33.71
5,68,13.68,3.31,951.56,46.81
5,69,37.45,1.65,1030.16,66.36
5,70,22.78,2.42,997.32,79.44
6,1,16.27,16.66,953.01,91.46
6,2,23.88,8.12,1032.57,70.58
6,3,11.71,28.11,1024.23,88.96
6,4,34.23,17.7,1005.54,51.01
6,5,14.35,11.75,979.32,67.61
6,6,26.71,6.67,958.7,83.39
6,7,13.54,5.71,976.7,97.86
6,8,6.17,18.21,1001.91,85.3
6,9,1.78,14.69,960.14,76.51
6,10,21.6,28.14,953.61,62.44
6,11,6.35,19.8,1019.35,57.01
6,12,4.59,39.62,982.02,40.05
6,13,38.4,14.15,1013.02,86.89
6,14,3.08,39.23,999.62,62.54
6,15,4.89,7.2,1010.7,55.29
6,16,10.09,34.5,1048.98,81.58
6,17,1.49,23.75,1003.75,86.11
6,18,37.04,27.59,1029.28,72.89
6,19,1.56,12.84,951.28,54.06
6,20,8.26,36.09,1037.4,80.75
6,21,27.23,33.91,1033.78,55.18
6,22,35.33,11.79,979.6,82.31
6,23,25.93,24.96,987.0,58.71
6,24,4.12,20.57,982.85,40.15
6,25,2.58,27.38,1044.13,99.72
6,26,34.75,17.14,1042.47,51.7
6,27,21.57,8.64,995.56,76.55
6,28,11.81,39.21,1048.28,98.18
6,29,9.31,7.52,1028.89,55.62
6,30,37.53,33.93,964.1,58.4
6,31,23.17,5.96,1045.27,95.45
6,32,2.56,32.14,996.72,73.71
6,33,33.79,6.35,977.59,40.87
6,34,38.79,9.27,1036.47,35.06
6,35,31.85,25.53,1049.35,79.34
6,36,1.45,24.24,1008.94,90.87
6,37,6.76,6.72,968.06,70.05
6,38,40.0,36.52,988.86,78.07
6,39,36.15,34.04,969.34,97.01
6,40,24.89,11.49,980.4,74.15
6,41,12.78,32.93,1011.33,39.72
6,42,32.08,6.22,1003.56,55.21
6,43,6.24,6.29,981.27,68.6
6,44,14.1,11.46,1016.27,68.26
6,45,12.95,12.17,952.81,63.47
6,46,19.78,38.31,1008.11,53.26
6,47,1.52,29.5,978.45,67.28
6,48,24.13,6.82,1010.33,65.9
6,49,0.11,38.37,986.98,98.71
6,50,30.23,37.09,1006.61,85.89
6,51,23.14,16.37,1003.46,77.27
6,52,27.85,28.09,1010.36,51.57
6,53,19.18,38.28,1036.94,99.92
6,54,12.0,19.92,1015.22,59.84
6,55,28.57,34.92,1010.66,39.11
6,56,20.09,39.88,1007.76,35.69
6,57,27.13,13.75,1028.94,34.55
6,58,6.36,39.86,1044.36,89.51
6,59,13.85,8.25,1047.35,51.48
6,60,29.86,21.42,955.59,58.55
6,61,34.69,20.75,992.86,58.75
6,62,5.54,32.51,987.13,55.5
6,63,39.3,13.17,987.33,95.35
6,64,17.13,23.02,964.46,54.73
6,65,24.13,14.09,1029.91,73.78
6,66,37.19,5.13,985.11,82.38
6,67,26.7,36.56,1024.81,71.76
6,68,35.5,28.29,1009.46,68.51
6,69,27.31,25.87,1018.66,72.94
6,70,2.46,5.47,979.39,66.17
7,1,7.09,37.73,1037.43,82.63
7,2,29.19,14.1,1008.68,54.36
7,3,26.01,33.2,1012.03,34.23
7,4,13.8,11.73,1029.25,86.25
7,5,19.03,13.62,1049.39,40.98
7,6,22.8,20.99,1019.98,84.49
7,7,1.63,28.92,1029.84,54.36
7,8,1.47,17.09,951.11,34.36
7,9,19.9,28.59,958.67,47.16
7,10,8.27,19.56,955.63,45.43
7,11,39.54,0.32,1043.74,68.61
7,12,8.65,16.25,995.7,92.97
7,13,8.72,20.21,966.79,57.74
7,14,11.25,36.85,985.96,77.07
7,15,37.06,9.95,961.0,52.58
7,16,31.74,31.58,951.25,96.52
7,17,24.74,36.97,961.2,40.72
7,18,31.45,29.89,953.8,73.5
7,19,4.78,10.45,1024.34,86.23
7,20,35.79,13.12,1034.57,75.67
7,21,11.37,2.99,1014.23,65.33
7,22,27.25,8.24,1019.72,39.04
7,23,28.71,0.03,1013.48,53.72
7,24,13.04,4.72,963.99,40.5
7,25,16.06,0.62,959.37,66.73
7,26,34.92,23.83,1018.52,75.12
7,27,11.83,15.98,1015.25,38.28
7,28,33.13,19.22,1018.08,67.1
7,29,31.62,6.79,1026.13,75.93
7,30,9.14,29.6,1036.46,53.04
7,31,30.69,11.32,1016.97,87.57
7,32,17.24,7.06,978.54,55.5
7,33,39.55,24.37,967.92,69.46
7,34,0.37,22.06,974.09,73.66
7,35,36.11,26.86,1005.35,53.06
7,36,13.14,38.57,959.1,69.2
7,37,14.54,12.92,1010.74,86.99
7,38,34.44,38.22,1039.79,86.44
7,39,22.6,8.21,1049.6,64.77
7,40,9.64,30.48,1040.39,96.96
7,41,38.52,22.37,1038.38,42.36
7,42,7.33,37.38,1038.71,70.14
7,43,24.5,6.55,1043.92,95.32
7,44,28.81,1.01,1003.0,65.05
7,45,18.86,11.77,990.25,59.25
7,46,0.97,21.62,977.55,67.9
7,47,15.05,7.6,1043.02,60.33
7,48,27.4,24.92,1033.35,75.83
7,49,9.73,35.48,1013.13,72.59
7,50,34.9,1.07,997.47,95.98
7,51,30.03,32.44,954.42,56.88
7,52,14.91,8.53,974.72,73.1
7,53,17.25,18.78,997.26,46.64
7,54,7.03,26.37,1008.59,69.78
7,55,35.8,5.38,1035.2,69.21
7,56,20.84,18.2,1011.65,93.42
7,57,7.09,20.39,953.5,60.28
7,58,37.92,17.41,955.38,55.62
7,59,26.09,8.56,1006.17,80.64
7,60,39.99,5.51,1011.53,97.82
7,61,38.26,19.25,1002.09,93.48
7,62,37.18,4.1,1027.68,64.05
7,63,20.5,5.74,974.63,48.93
7,64,30.35,2.96,960.24,90.21
7,65,38.83,36.01,978.35,81.55
7,66,23.18,15.24,990.08,59.45
7,67,20.76,6.94,984.51,43.27
7,68,30.56,10.55,976.79,69.8
7,69,19.88,29.77,1008.98,47.53
7,70,37.89,36.47,971.64,95.06
8,1,9.39,27.42,1026.69,85.44
8,2,28.3,28.35,1014.08,51.54
8,3,11.4,39.09,957.86,82.85
8,4,4.71,12.91,967.42,89.95
8,5,19.72,25.43,1017.15,74.5
8,6,21.65,27.62,962.05,78.73
8,7,20.76,4.97,977.72,43.98
8,8,4.74,20.38,977.37,51.13
8,9,17.49,32.66,985.6,77.59
8,10,35.62,23.52,953.21,60.96
8,11,2.48,31.07,959.94,42.03
8,12,5.82,26.54,1021.04,57.87
8,13,39.87,28.56,1019.71,57.05
8,14,30.79,26.02,1023.37,68.47
8,15,12.59,12.11,1024.85,82.59
8,16,19.31,3.36,984.15,80.46
8,17,13.11,9.35,977.81,64.44
8,18,10.7,13.61,1048.87,69.17
8,19,10.85,8.96,1025.48,66.59
8,20,4.18,38.48,985.35,33.93
8,21,8.6,0.41,1013.76,57.39
8,22,10.32,15.39,1020.11,87.38
8,23,18.66,12.34,977.83,53.84
8,24,9.97,26.83,960.59,41.91
8,25,10.51,21.49,1024.35,45.25
8,26,6.76,25.39,964.27,64.22
8,27,10.31,33.53,1045.76,51.01
8,28,8.92,34.75,953.25,40.43
8,29,25.96,15.69,1011.67,75.09
8,30,27.87,34.68,950.67,95.26
8,31,17.53,33.35,1007.7,50.36
8,32,3.83,14.69,963.38,95.86
8,33,34.42,23.98,1019.8,71.05
8,34,33.61,22.47,973.88,85.34
8,35,29.22,26.56,973.16,69.66
8,36,0.63,21.77,1049.99,63.37
8,37,35.97,14.2,1048.09,36.75
8,38,13.79,8.01,1027.49,37.52
8,39,27.54,3.37,1047.25,32.36
8,40,5.76,18.69,993.47,85.17
8,41,36.7,0.16,987.09,76.54
8,42,16.35,27.83,1010.66,67.4
8,43,10.48,9.47,983.79,31.87
8,44,16.49,23.47,953.48,66.58
8,45,24.88,7.57,1017.14,31.41
8,46,13.96,18.39,969.08,41.63
8,47,14.63,10.53,969.88,42.83
8,48,38.95,24.99,1007.35,67.23
8,49,6.75,2.09,972.95,36.86
8,50,2.44,1.81,994.27,40.56
8,51,22.99,27.12,1012.93,91.44
8,52,14.89,6.91,1046.76,98.28
8,53,11.24,21.69,1037.29,91.3
8,54,32.92,36.07,1043.12,61.72
8,55,35.7,37.4,1038.6,84.18
8,56,35.13,31.17,1044.35,41.67
8,57,36.58,26.51,979.86,39.04
8,58,31.19,37.13,986.42,36.16
8,59,37.41,6.36,1042.25,94.89
8,60,1.03,5.37,962.75,34.35
8,61,2.1,14.88,953.58,56.61
8,62,10.44,1.86,989.28,47.09
8,63,7.98,14.35,1019.97,95.07
8,64,5.4,34.6,1003.9,56.73
8,65,10.7,8.96,988.15,93.96
8,66,36.43,5.69,1049.53,48.48
8,67,27.64,24.37,992.95,65.78
8,68,37.88,13.97,977.42,92.93
8,69,31.76,26.19,991.5,92.01
8,70,3.71,27.22,1042.5,74.8
9,1,25.14,24.37,965.65,68.12
9,2,39.78,3.7,1009.48,58.33
9,3,22.42,2.18,951.22,96.28
9,4,26.59,0.43,1040.3,42.7
9,5,38.8,15.15,998.33,89.44
9,6,27.06,32.29,1037.11,79.82
9,7,16.24,32.71,1035.92,31.96
9,8,29.71,1.07,1035.38,37.62
9,9,12.26,22.16,1038.6,70.3
9,10,1.14,38.92,952.35,53.74
9,11,23.45,13.86,986.28,31.0
9,12,0.63,38.2,977.12,90.12
9,13,30.27,18.95,968.09,65.2
9,14,35.51,3.8,996.0,68.3
9,15,5.73,25.35,1030.16,49.33
9,16,31.72,29.73,991.93,77.83
9,17,39.58,30.21,1030.14,99.67
9,18,26.78,37.0,959.91,82.53
9,19,1.6,22.78,1022.78,47.8
9,20,9.17,30.96,987.5,86.99
9,21,4.16,20.24,1018.9,53.44
9,22,22.92,37.99,1033.07,98.46
9,23,39.85,13.56,995.49,60.92
9,24,15.92,27.01,1013.75,73.51
9,25,15.21,24.23,1012.01,97.48
9,26,27.82,10.18,1008.37,61.72
9,27,37.42,3.78,984.67,88.51
9,28,35.57,4.38,1008.13,52.99
9,29,24.52,30.79,1021.25,34.49
9,30,27.16,19.15,1034.86,83.22
9,31,32.12,25.06,973.62,79.13
9,32,35.38,15.71,1016.95,60.9
9,33,12.87,6.23,1032.0,80.69
9,34,11.96,32.88,993.79,62.76
9,35,30.55,0.3,1030.32,43.87
9,36,35.52,4.15,973.31,34.96
9,37,21.23,1.19,1008.05,54.08
9,38,22.96,1.57,1008.7,31.38
9,39,30.82,22.26,984.45,92.95
9,40,26.7,27.77,1026.71,99.4
9,41,22.86,16.94,991.6,30.9
9,42,9.8,8.41,997.61,33.33
9,43,9.0,27.31,1038.8,36.95
9,44,4.85,9.63,1042.6,42.46
9,45,2.89,36.89,989.01,66.9
9,46,14.44,23.08,1039.17,53.64
9,47,31.42,27.33,975.43,87.64
9,48,13.08,25.48,959.96,69.08
9,49,25.38,4.16,954.24,34.68
9,50,28.78,1.3,950.02,69.92
9,51,34.02,34.55,1043.14,89.24
9,52,33.45,32.42,1034.53,94.33
9,53,29.65,15.62,993.57,72.09
9,54,7.58,3.95,978.57,72.49
9,55,33.08,1.41,956.38,53.18
9,56,12.93,18.06,958.59,68.66
9,57,34.96,31.56,966.82,62.99
9,58,2.94,21.33,1011.44,32.49
9,59,24.06,3.71,1010.78,98.59
9,60,6.38,5.39,952.17,81.15
9,61,21.32,15.23,964.23,64.21
9,62,27.71,32.7,993.91,81.42
9,63,15.92,9.24,1032.49,38.04
9,64,1.29,22.68,959.27,45.28
9,65,36.91,12.19,996.67,43.23
9,66,10.86,19.51,957.72,96.11
9,67,25.01,13.5,1008.48,88.12
9,68,16.6,12.02,1021.55,50.32
9,69,33.77,4.57,964.4,76.34
9,70,12.7,12.19,1008.19,68.19
10,1,35.91,17.97,967.24,89.91
10,2,23.59,22.78,1014.22,75.48
10,3,13.15,1.19,958.13,67.74
10,4,38.79,28.47,989.83,43.17
10,5,37.64,5.63,978.65,53.08
10,6,18.29,26.55,974.8,89.35
10,7,1.7,37.7,1024.62,37.95
10,8,6.9,20.61,1029.04,72.3
10,9,32.71,12.25,987.94,59.12
10,10,37.98,11.22,975.56,85.9
10,11,39.95,19.73,1043.85,88.88
10,12,11.02,24.97,1020.2,81.23
10,13,11.18,21.95,960.66,41.88
10,14,30.3,9.08,972.61,54.33
10,15,14.41,10.49,1047.82,89.26
10,16,4.34,19.81,970.11,76.52
10,17,19.93,9.72,1023.67,78.49
10,18,33.43,7.6,990.23,67.08
10,19,17.32,28.55,981.6,79.24
10,20,2.21,33.85,1048.34,50.6
10,21,36.82,33.06,996.52,34.89
10,22,13.57,25.28,985.0,34.95
10,23,26.17,19.62,1032.2,64.83
10,24,33.15,31.01,982.64,99.98
10,25,6.42,9.0,1034.79,73.46
10,26,8.4,20.36,1047.98,83.67
10,27,7.96,25.38,1027.36,37.99
10,28,32.63,3.08,955.47,61.34
10,29,4.53,15.57,977.4,55.35
10,30,15.54,30.69,985.72,36.28
10,31,22.82,10.23,1030.34,41.94
10,32,2.24,5.64,1032.29,42.72
10,33,25.5,26.14,1014.66,50.09
10,34,21.18,21.47,1025.18,64.47
10,35,38.62,37.64,1047.86,99.88
10,36,17.33,29.35,1005.33,51.37
10,37,6.36,24.25,983.75,72.79
10,38,32.23,20.01,1011.0,41.13
10,39,28.73,18.08,1045.01,60.51
10,40,8.11,24.6,1004.97,97.3
10,41,34.46,9.37,971.66,95.81
10,42,14.57,35.2,1039.38,70.02
10,43,34.5,35.08,1015.25,88.67
10,44,10.69,25.16,983.11,41.75
10,45,19.37,17.57,982.65,70.03
10,46,25.26,26.85,975.53,68.6
10,47,3.63,24.39,1038.4,47.32
10,48,14.38,13.06,974.61,70.59
10,49,28.8,16.96,965.98,59.76
