Meter,Distance (km),Turning Radius (m),Average Speed (km/h)
191,0.191,5.035836893759523,200.0
192,0.192,6.475439578877252,200.0
193,0.193,11.128906260751602,200.0
194,0.194,14.942668496495049,200.0
195,0.195,9.388171212717928,200.0
196,0.196,8.776895771698854,200.0
197,0.197,11.12066572716456,200.0
198,0.198,10.209470564148459,200.0
199,0.199,9.01076146728767,200.0
200,0.2,8.089781572222279,200.0
201,0.201,13.653958700725953,200.0
202,0.202,12.2025985716708,200.0
203,0.203,11.961708272028968,200.0
204,0.204,5.022270077598386,200.0
205,0.205,5.438618368289402,200.0
206,0.206,12.262165578626878,200.0
207,0.207,11.705960510990742,200.0
208,0.208,5.571772845793301,200.0
209,0.209,9.922847357653698,200.0
210,0.21,9.755421261620588,200.0
211,0.211,8.68233526460427,200.0
212,0.212,7.641878964378171,200.0
213,0.213,10.177104390852989,200.0
214,0.214,10.440303203516983,200.0
215,0.215,14.868683222469691,200.0
216,0.216,5.315745741986504,200.0
217,0.217,13.378485374097249,200.0
218,0.218,6.891125484954635,200.0
219,0.219,12.375601205236809,200.0
220,0.22,8.368995488559564,200.0
221,0.221,13.069826256211453,200.0
222,0.222,6.674692150996419,200.0
223,0.223,10.726948449440686,200.0
224,0.224,9.496834900005897,200.0
225,0.225,6.916490189607764,200.0
226,0.226,5.935850922062488,200.0
227,0.227,14.16754368502086,200.0
228,0.228,12.796013074060317,200.0
229,0.229,5.109915405961548,200.0
230,0.23,10.09730868545477,200.0
231,0.231,10.498574474213559,200.0
232,0.232,7.085061809204591,200.0
233,0.233,9.201574881751855,200.0
234,0.234,13.275530938505048,200.0
235,0.235,11.878197678944963,200.0
236,0.236,9.780299410882051,200.0
237,0.237,8.225232635348789,200.0
238,0.238,8.877689268400921,200.0
239,0.239,6.7898452688021935,200.0
240,0.24,9.497943143884244,200.0
241,0.241,11.000436928646149,200.0
242,0.242,11.562988498132581,200.0
243,0.243,6.395614489176785,200.0
244,0.244,11.217835102060244,200.0
245,0.245,13.029451783088978,200.0
246,0.246,9.615128630073233,200.0
247,0.247,10.907348856798457,200.0
248,0.248,6.500770697546242,200.0
249,0.249,9.72029499141307,200.0
250,0.25,11.102389836143104,200.0
251,0.251,12.755721218577204,200.0
252,0.252,10.534590250365081,200.0
253,0.253,10.76696879595767,200.0
254,0.254,5.077406798681854,200.0
255,0.255,10.856684392694724,200.0
256,0.256,12.476245271708864,200.0
257,0.257,13.00130157398088,200.0
258,0.258,9.328396948060787,200.0
259,0.259,11.698190262892211,200.0
260,0.26,5.676349879416335,200.0
261,0.261,12.219517144915628,200.0
262,0.262,5.358502920098896,200.0
263,0.263,9.293946203496777,200.0
264,0.264,9.980105116221015,200.0
265,0.265,12.958909536392214,200.0
266,0.266,10.605716623460363,200.0
267,0.267,11.630077594928208,200.0
268,0.268,7.433867287320613,200.0
269,0.269,6.470797218950846,200.0
270,0.27,11.118956716929981,200.0
271,0.271,6.614448858827751,200.0
272,0.272,10.838215752559872,200.0
273,0.273,5.536099220882718,200.0
274,0.274,12.325085223836538,200.0
275,0.275,10.738256076962234,200.0
276,0.276,12.44161123189387,200.0
277,0.277,11.09545459398727,200.0
278,0.278,14.374615208137527,200.0
279,0.279,14.750793328494066,200.0
280,0.28,14.048366571662275,200.0
281,0.281,12.582641064456595,200.0
282,0.282,10.95914201235134,200.0
283,0.283,13.55660500590205,200.0
284,0.284,5.68137536799596,200.0
285,0.285,14.104061508782186,200.0
286,0.286,9.93401268983909,200.0
287,0.287,13.407593120501144,200.0
288,0.288,5.067513045782418,200.0
289,0.289,7.365284329683898,200.0
290,0.29,14.726132532800438,200.0
291,0.291,8.376543308988385,200.0
292,0.292,10.391572678656674,200.0
293,0.293,11.968189932513958,200.0
294,0.294,7.507609178322751,200.0
295,0.295,12.555559563596137,200.0
296,0.296,5.848413107493925,200.0
297,0.297,10.352500633144276,200.0
298,0.298,13.895771595161452,200.0
299,0.299,6.143483072386834,200.0
300,0.3,6.852620056688839,200.0
301,0.301,5.101198022857977,200.0
302,0.302,5.163536364542636,200.0
303,0.303,7.909540638367831,200.0
304,0.304,5.655806043429887,200.0
305,0.305,6.789113083561333,200.0
306,0.306,11.768306823098673,200.0
307,0.307,10.197715518750432,200.0
308,0.308,6.856221142833151,200.0
309,0.309,10.754094504997866,200.0
310,0.31,12.545043302361751,200.0
311,0.311,11.206171023054083,200.0
312,0.312,9.897649095028225,200.0
313,0.313,12.813293942508615,200.0
314,0.314,8.32413518630924,200.0
315,0.315,12.022133906317944,200.0
316,0.316,14.241627058478276,200.0
317,0.317,14.84205580307276,200.0
318,0.318,7.807263100190901,200.0
319,0.319,5.808581258832051,200.0
320,0.32,11.053124087567435,200.0
321,0.321,10.778924467469736,200.0
322,0.322,12.352970285804298,200.0
323,0.323,8.469923940608606,200.0
324,0.324,11.503276313682706,200.0
325,0.325,5.264891944838343,200.0
326,0.326,10.107970688840528,200.0
327,0.327,7.772444539958143,200.0
328,0.328,8.221323551537756,200.0
329,0.329,13.600612830968076,200.0
330,0.33,10.426350375146683,200.0
331,0.331,10.608123030405176,200.0
332,0.332,12.531254171101523,200.0
333,0.333,13.37005906526581,200.0
334,0.334,12.655287309431355,200.0
335,0.335,12.595992764295671,200.0
336,0.336,8.467473083388683,200.0
337,0.337,10.371848776399297,200.0
338,0.338,9.770607392559235,200.0
339,0.339,8.62159361206978,200.0
340,0.34,11.996828075521247,200.0
341,0.341,8.380501676130205,200.0
342,0.342,5.920035632448277,200.0
343,0.343,8.42428911734704,200.0
344,0.344,9.431427287801437,200.0
345,0.345,14.493379893705024,200.0
346,0.346,10.130250494215762,200.0
347,0.347,14.90155838843631,200.0
348,0.348,8.244905616479562,200.0
349,0.349,6.053310394378978,200.0
350,0.35,7.922821728031164,200.0
351,0.351,7.666951808193262,200.0
352,0.352,13.848949908966242,200.0
353,0.353,13.052886587581526,200.0
354,0.354,9.721944191887282,200.0
355,0.355,14.64013180293304,200.0
356,0.356,11.10111084289685,200.0
357,0.357,7.652488021093805,200.0
358,0.358,14.972804195430843,200.0
359,0.359,7.322324363816798,200.0
360,0.36,11.803612410724336,200.0
361,0.361,6.259561814305891,200.0
362,0.362,9.706142413806973,200.0
363,0.363,8.006301733145072,200.0
364,0.364,7.437093949507606,200.0
365,0.365,12.39208848229489,200.0
366,0.366,5.58389948972798,200.0
367,0.367,11.71034692305139,200.0
368,0.368,12.529823140098209,200.0
369,0.369,12.431308814116125,200.0
370,0.37,5.216630032479756,200.0
371,0.371,12.472223640062184,200.0
372,0.372,6.9098452332815485,200.0
373,0.373,5.59511227961819,200.0
374,0.374,11.290175869471549,200.0
375,0.375,13.373143371165444,200.0
376,0.376,6.758773835856836,200.0
377,0.377,14.008394204379954,200.0
378,0.378,13.855249768747093,200.0
379,0.379,11.541324040282337,200.0
380,0.38,14.030883808496764,200.0
381,0.381,10.708053814535567,200.0
382,0.382,8.55514672306281,200.0
383,0.383,14.804146995441732,200.0
384,0.384,7.385965980112119,200.0
385,0.385,6.225255307582581,200.0
386,0.386,8.133782829708025,200.0
387,0.387,10.077697971137566,200.0
388,0.388,14.194698399801064,200.0
389,0.389,12.242056931063127,200.0
390,0.39,5.125853439236522,200.0
391,0.391,5.88313477263887,200.0
392,0.392,13.222280408333807,200.0
393,0.393,10.60452148139741,200.0
394,0.394,14.54137333968692,200.0
395,0.395,7.992562945833436,200.0
396,0.396,5.501364603791784,200.0
397,0.397,14.691504162056091,200.0
398,0.398,11.438928437296216,200.0
399,0.399,11.21937426354737,200.0
400,0.4,11.923816769030676,200.0
401,0.401,12.108657750190478,200.0
402,0.402,13.38900576682525,200.0
403,0.403,14.97703725421411,200.0
404,0.404,12.276181005453882,200.0
405,0.405,8.93478440512217,200.0
406,0.406,14.979628189442014,200.0
407,0.407,5.315527612607102,200.0
408,0.408,5.344305006946307,200.0
409,0.409,9.929339950168263,200.0
410,0.41,6.871502326687844,200.0
411,0.411,5.617433687697794,200.0
412,0.412,9.172222660400147,200.0
413,0.413,9.776523368878857,200.0
414,0.414,8.085904570961027,200.0
415,0.415,10.781960232760781,200.0
416,0.416,12.553589539221209,200.0
417,0.417,13.560775355245784,200.0
418,0.418,12.925391041374912,200.0
419,0.419,8.42792139791049,200.0
420,0.42,5.207879839464818,200.0
421,0.421,8.691746741927595,200.0
422,0.422,6.298650940372702,200.0
423,0.423,12.933514413401468,200.0
424,0.424,12.696023103809877,200.0
425,0.425,12.438393509186616,200.0
426,0.426,8.090708856204444,200.0
427,0.427,13.268629249424338,200.0
428,0.428,5.942379091302934,200.0
429,0.429,11.064476751446023,200.0
430,0.43,5.4060781335625405,200.0
431,0.431,7.648906680266561,200.0
432,0.432,5.5829110770013335,200.0
433,0.433,13.440063005678198,200.0
434,0.434,12.352655542945467,200.0
435,0.435,10.83267616765842,200.0
436,0.436,7.229074120467897,200.0
437,0.437,11.845548189837686,200.0
438,0.438,8.445253931739046,200.0
439,0.439,14.52752183782189,200.0
440,0.44,9.565295958051077,200.0
441,0.441,7.699399810583209,200.0
442,0.442,14.604104885258515,200.0
443,0.443,13.966499277511243,200.0
444,0.444,13.681932824250705,200.0
445,0.445,11.130197215318576,200.0
446,0.446,10.308604844035887,200.0
447,0.447,10.255490856769624,200.0
448,0.448,9.429833357946814,200.0
449,0.449,12.083845965052085,200.0
450,0.45,5.058239305773894,200.0
451,0.451,9.112635259673311,200.0
452,0.452,5.84728268182414,200.0
453,0.453,13.443731885708178,200.0
454,0.454,8.046914632804913,200.0
455,0.455,7.332106018305421,200.0
456,0.456,11.545688301952348,200.0
457,0.457,8.471462542940976,200.0
458,0.458,7.726160181172173,200.0
459,0.459,10.250150737132607,200.0
460,0.46,11.582079833259364,200.0
461,0.461,7.823208858995758,200.0
462,0.462,9.899390799301198,200.0
463,0.463,12.947862844378651,200.0
464,0.464,7.194008116059947,200.0
465,0.465,11.075735569975002,200.0
466,0.466,12.401688379663586,200.0
467,0.467,6.576545754574456,200.0
468,0.468,8.862529159111634,200.0
469,0.469,13.647859005036727,200.0
470,0.47,8.955415532862737,200.0
471,0.471,11.714212432106109,200.0
472,0.472,10.105249544714264,200.0
473,0.473,13.402867388664747,200.0
474,0.474,14.817268768189855,200.0
475,0.475,7.841331878957586,200.0
476,0.476,13.548955309487269,200.0
477,0.477,5.360268868538435,200.0
478,0.478,12.670637733637157,200.0
479,0.479,7.855735102283124,200.0
480,0.48,11.057955877750878,200.0
481,0.481,10.692784670728322,200.0
482,0.482,7.504294050671482,200.0
483,0.483,7.145276677963177,200.0
484,0.484,13.842385468155952,200.0
485,0.485,10.827541327980953,200.0
486,0.486,11.930581178142013,200.0
487,0.487,14.270994910531908,200.0
488,0.488,13.26676121024367,200.0
489,0.489,9.206999901379941,200.0
490,0.49,7.457589272923756,200.0
491,0.491,9.659763554978927,200.0
492,0.492,9.859525569942846,200.0
493,0.493,9.370352114377564,200.0
494,0.494,10.571993152048378,200.0
495,0.495,14.307900062821155,200.0
496,0.496,5.781600699918058,200.0
497,0.497,7.859670993790344,200.0
498,0.498,12.199466085968188,200.0
499,0.499,11.2351593866016,200.0
500,0.5,7.264280249520146,200.0
501,0.501,7.651568560969389,200.0
502,0.502,12.201410845996033,200.0
503,0.503,9.627125996394167,200.0
504,0.504,12.152757666966643,200.0
505,0.505,11.707966927707876,200.0
506,0.506,7.643318122110932,200.0
507,0.507,14.362084727678363,200.0
508,0.508,7.788376217604548,200.0
509,0.509,6.676916645523326,200.0
510,0.51,7.883988803036543,200.0
511,0.511,10.273093701834686,200.0
512,0.512,9.392910803534377,200.0
513,0.513,10.680080563744033,200.0
514,0.514,12.325548424568863,200.0
515,0.515,14.636248896663313,200.0
516,0.516,11.180908870907773,200.0
517,0.517,8.315800230593888,200.0
518,0.518,9.959698025459007,200.0
519,0.519,13.496899458766627,200.0
520,0.52,13.772687522122318,200.0
521,0.521,14.899672126920391,200.0
522,0.522,8.99374741081113,200.0
523,0.523,5.611881136323321,200.0
524,0.524,7.601064567888651,200.0
525,0.525,10.622326892681574,200.0
526,0.526,10.722880841093588,200.0
527,0.527,14.42872799494252,200.0
528,0.528,10.580667675458015,200.0
529,0.529,5.727609304699136,200.0
530,0.53,12.498705882959996,200.0
531,0.531,9.127656407556389,200.0
532,0.532,5.909921179339632,200.0
533,0.533,12.543668158474826,200.0
534,0.534,6.02241109267252,200.0
535,0.535,7.295576946671148,200.0
536,0.536,9.820961812301737,200.0
537,0.537,6.902488859793526,200.0
538,0.538,13.857111052946834,200.0
539,0.539,7.501298147584197,200.0
540,0.54,8.13258246916595,200.0
541,0.541,6.4162602644600755,200.0
542,0.542,11.272173141157651,200.0
543,0.543,11.175655295051282,200.0
544,0.544,9.180606002195617,200.0
545,0.545,14.955016205816312,200.0
546,0.546,14.925779704087319,200.0
547,0.547,11.535528824203983,200.0
548,0.548,7.044547980199612,200.0
549,0.549,12.744375872900179,200.0
550,0.55,8.16629840875,200.0
551,0.551,11.951418648497143,200.0
552,0.552,5.1792795626753065,200.0
553,0.553,11.934803376245776,200.0
554,0.554,9.940976161624398,200.0
555,0.555,10.457456283733753,200.0
556,0.556,9.617791278237336,200.0
557,0.557,10.920393485918563,200.0
558,0.558,14.477529406984244,200.0
559,0.559,13.60125251292742,200.0
560,0.56,6.346200455850721,200.0
561,0.561,7.045325583835412,200.0
562,0.562,14.710567619042008,200.0
563,0.563,12.643812749097645,200.0
564,0.564,10.559749571831679,200.0
565,0.565,13.184367211322543,200.0
566,0.566,5.43073229255932,200.0
567,0.567,10.906083107492908,200.0
568,0.568,14.238371698553781,200.0
569,0.569,14.99157541117335,200.0
570,0.57,13.791330898196687,200.0
571,0.571,6.446155014998989,200.0
572,0.572,11.396572359986834,200.0
573,0.573,8.10207731973811,200.0
574,0.574,9.80410381318387,200.0
575,0.575,11.26271083256667,200.0
576,0.576,11.053080077874874,200.0
577,0.577,6.817285880047551,200.0
578,0.578,5.479589600137515,200.0
579,0.579,8.122375623206409,200.0
580,0.58,7.538737515241182,200.0
581,0.581,9.778479763149187,200.0
582,0.582,12.457068376884433,200.0
583,0.583,14.299359128147017,200.0
584,0.584,6.849496586781882,200.0
585,0.585,11.831407674783767,200.0
586,0.586,6.090415094007452,200.0
587,0.587,11.517955290799154,200.0
588,0.588,7.614599215313044,200.0
589,0.589,7.627432913288576,200.0
590,0.59,7.74408817040957,200.0
591,0.591,6.994938303159259,200.0
592,0.592,11.756611606223894,200.0
593,0.593,14.045124306047615,200.0
594,0.594,11.313069160952196,200.0
595,0.595,12.379158907179585,200.0
596,0.596,14.734391007086426,200.0
597,0.597,9.3167309136374,200.0
598,0.598,8.331955682500372,200.0
599,0.599,10.459038641400493,200.0
600,0.6,13.189561362575446,200.0
601,0.601,14.667157916017697,200.0
602,0.602,5.346716723505011,200.0
603,0.603,6.419050911185416,200.0
604,0.604,8.958872020672967,200.0
605,0.605,5.4008237792315725,200.0
606,0.606,13.11568921886538,200.0
607,0.607,7.059484644064431,200.0
608,0.608,8.129995714810041,200.0
609,0.609,11.889391533752526,200.0
610,0.61,12.46644557567557,200.0
611,0.611,9.23139756440881,200.0
612,0.612,9.723563769642649,200.0
613,0.613,5.2761233966469545,200.0
614,0.614,9.40374185522843,200.0
615,0.615,6.491474582285584,200.0
616,0.616,6.483563415952441,200.0
617,0.617,14.211860547561974,200.0
618,0.618,14.645880476425132,200.0
619,0.619,10.53958542869156,200.0
620,0.62,10.773784149569792,200.0
621,0.621,6.264849485082195,200.0
622,0.622,7.407562528409719,200.0
623,0.623,13.195183050506817,200.0
624,0.624,6.344047794622233,200.0
625,0.625,7.002784620105044,200.0
626,0.626,8.704445144211707,200.0
627,0.627,14.897443993462856,200.0
628,0.628,10.758487817138443,200.0
629,0.629,10.127977348961327,200.0
630,0.63,5.682299956512997,200.0
631,0.631,8.986654074191865,200.0
632,0.632,10.657463499796883,200.0
633,0.633,10.3300965139575,200.0
634,0.634,11.38796248759896,200.0
635,0.635,14.431581844920116,200.0
636,0.636,9.202361994393389,200.0
637,0.637,10.012474222921213,200.0
638,0.638,13.565230523792748,200.0
639,0.639,10.776829770574047,200.0
640,0.64,14.58665066718654,200.0
641,0.641,8.660236993627942,200.0
642,0.642,5.430640754158086,200.0
643,0.643,7.092471798048706,200.0
644,0.644,7.271886910995446,200.0
645,0.645,11.958440478423014,200.0
646,0.646,14.903040791764273,200.0
647,0.647,12.288753878637529,200.0
648,0.648,6.1725727800809915,200.0
649,0.649,14.122362044256842,200.0
650,0.65,6.174065199826597,200.0
651,0.651,5.483198371261499,200.0
652,0.652,11.70544307020355,200.0
653,0.653,9.40411352881219,200.0
654,0.654,13.526901290931836,200.0
655,0.655,6.107862834617284,200.0
656,0.656,11.519378532667847,200.0
657,0.657,9.679294998100211,200.0
658,0.658,12.837832861264566,200.0
659,0.659,5.5859943186867875,200.0
660,0.66,12.489924056073853,200.0
661,0.661,14.962799141941428,200.0
662,0.662,12.643816996959233,200.0
663,0.663,14.494538777714057,200.0
664,0.664,9.791331834921191,200.0
665,0.665,11.713154307927365,200.0
666,0.666,12.984091206870929,200.0
667,0.667,8.354130851001901,200.0
668,0.668,5.308507885923454,200.0
669,0.669,10.768128082213472,200.0
670,0.67,5.462095442371328,200.0
671,0.671,5.585282200767965,200.0
672,0.672,12.927710563174386,200.0
673,0.673,5.747186570425513,200.0
674,0.674,14.317253601743579,200.0
675,0.675,12.749842039699033,200.0
676,0.676,10.842971186913537,200.0
677,0.677,11.02599408633354,200.0
678,0.678,8.852015798561162,200.0
679,0.679,10.275002583955795,200.0
680,0.68,8.901630290251772,200.0
681,0.681,13.72033321059939,200.0
682,0.682,6.769952178498192,200.0
683,0.683,7.937231709675866,200.0
684,0.684,6.273704638468662,200.0
685,0.685,13.819441711667134,200.0
686,0.686,7.684810782776782,200.0
687,0.687,13.972821891887182,200.0
688,0.688,6.611043399765534,200.0
689,0.689,10.660677746508272,200.0
690,0.69,11.717602702447905,200.0
691,0.691,8.585243561513021,200.0
692,0.692,11.412757063907748,200.0
693,0.693,13.462802804880695,200.0
694,0.694,13.92791537906136,200.0
695,0.695,11.09118519821287,200.0
696,0.696,9.742710910937078,200.0
697,0.697,10.042825553966502,200.0
698,0.698,5.018797254278294,200.0
699,0.699,11.380059611445613,200.0
700,0.7,8.463467677459686,200.0
701,0.701,10.776491525966552,200.0
702,0.702,9.634488542219891,200.0
703,0.703,10.809103844163667,200.0
704,0.704,8.486506170323162,200.0
705,0.705,13.767635131395627,200.0
706,0.706,14.8725486397178,200.0
707,0.707,11.103639592653085,200.0
708,0.708,5.034530013008737,200.0
709,0.709,14.598183330241957,200.0
710,0.71,12.680829190816109,200.0
711,0.711,7.8332001866650565,200.0
712,0.712,14.106305901476041,200.0
713,0.713,11.063423295340158,200.0
714,0.714,8.59206681690484,200.0
715,0.715,10.50343482455294,200.0
716,0.716,9.157759300342391,200.0
717,0.717,10.992173840401112,200.0
718,0.718,10.094257104719297,200.0
719,0.719,12.265849971471969,200.0
720,0.72,7.937659184090313,200.0
721,0.721,5.717492208370677,200.0
722,0.722,7.389345447717703,200.0
723,0.723,12.07760019653568,200.0
724,0.724,13.769244233297552,200.0
725,0.725,13.758131512121372,200.0
726,0.726,12.978522434597382,200.0
727,0.727,8.457131460827327,200.0
728,0.728,8.24791205676328,200.0
729,0.729,14.338425596182699,200.0
730,0.73,12.850496368255737,200.0
731,0.731,13.760878456623256,200.0
732,0.732,14.036449720121881,200.0
733,0.733,9.977328364067889,200.0
734,0.734,10.123015930740777,200.0
735,0.735,5.06393748950139,200.0
736,0.736,14.79280726169245,200.0
737,0.737,9.919146760899004,200.0
738,0.738,14.735412159383642,200.0
739,0.739,13.057484555136075,200.0
740,0.74,12.399156971917563,200.0
741,0.741,12.22715536101935,200.0
742,0.742,7.558630071891984,200.0
743,0.743,7.378368271980715,200.0
744,0.744,6.4155229801390545,200.0
745,0.745,7.330032443021382,200.0
746,0.746,10.67277173917162,200.0
747,0.747,11.658124043285259,200.0
748,0.748,6.401334240568861,200.0
749,0.749,14.654197447414552,200.0
750,0.75,7.725495780435514,200.0
751,0.751,13.190768257879157,200.0
752,0.752,13.518828014144228,200.0
753,0.753,13.20926918673636,200.0
754,0.754,12.945273189443558,200.0
755,0.755,7.917268344316785,200.0
756,0.756,6.908635804167121,200.0
757,0.757,9.430935412065269,200.0
758,0.758,10.090943090390827,200.0
759,0.759,9.82756697259508,200.0
760,0.76,6.644279990089107,200.0
761,0.761,5.744712881960298,200.0
762,0.762,14.530231717736381,200.0
763,0.763,12.391414411147565,200.0
764,0.764,12.022321331297086,200.0
765,0.765,9.170475741079072,200.0
766,0.766,8.965462860755832,200.0
767,0.767,9.53443015085411,200.0
768,0.768,14.318211364709923,200.0
769,0.769,13.55900540690708,200.0
770,0.77,5.116533344443356,200.0
771,0.771,14.609169200496858,200.0
772,0.772,7.607200350294596,200.0
